Order from Day_110. Please deliver 329 units of product P_1. Regards, Store S_9.
Order from Day_110. Please deliver 431 units of product P_2. Regards, Store S_9.
Order from Day_110. Please deliver 161 units of product P_3. Regards, Store S_9.
Order from Day_110. Please deliver 241 units of product P_6. Regards, Store S_9.
Order from Day_110. Please deliver 224 units of product P_7. Regards, Store S_9.
Order from Day_110. Please deliver 230 units of product P_8. Regards, Store S_9.
Order from Day_110. Please deliver 242 units of product P_9. Regards, Store S_9.
Order from Day_110. Please deliver 276 units of product P_10. Regards, Store S_9.
Order from Day_110. Please deliver 277 units of product P_11. Regards, Store S_9.
Order from Day_110. Please deliver 157 units of product P_12. Regards, Store S_9.
Order from Day_110. Please deliver 214 units of product P_13. Regards, Store S_9.
Order from Day_110. Please deliver 182 units of product P_14. Regards, Store S_9.
Order from Day_110. Please deliver 347 units of product P_15. Regards, Store S_9.
Order from Day_110. Please deliver 283 units of product P_16. Regards, Store S_9.
Order from Day_110. Please deliver 266 units of product P_17. Regards, Store S_9.
Order from Day_110. Please deliver 323 units of product P_19. Regards, Store S_9.
Order from Day_110. Please deliver 536 units of product P_21. Regards, Store S_9.
Order from Day_110. Please deliver 485 units of product P_22. Regards, Store S_9.
Order from Day_110. Please deliver 271 units of product P_23. Regards, Store S_9.
Order from Day_110. Please deliver 333 units of product P_24. Regards, Store S_9.
Order from Day_110. Please deliver 400 units of product P_25. Regards, Store S_9.
Order from Day_110. Please deliver 243 units of product P_28. Regards, Store S_9.
Order from Day_110. Please deliver 271 units of product P_29. Regards, Store S_9.
Order from Day_110. Please deliver 394 units of product P_30. Regards, Store S_9.
