RECEIVER: S_8 | ORDER_PRODUCT: P_1 | ORDER_QTY: 336
RECEIVER: S_8 | ORDER_PRODUCT: P_2 | ORDER_QTY: 328
RECEIVER: S_8 | ORDER_PRODUCT: P_3 | ORDER_QTY: 454
RECEIVER: S_8 | ORDER_PRODUCT: P_5 | ORDER_QTY: 255
RECEIVER: S_8 | ORDER_PRODUCT: P_6 | ORDER_QTY: 419
RECEIVER: S_8 | ORDER_PRODUCT: P_7 | ORDER_QTY: 483
RECEIVER: S_8 | ORDER_PRODUCT: P_8 | ORDER_QTY: 395
RECEIVER: S_8 | ORDER_PRODUCT: P_9 | ORDER_QTY: 164
RECEIVER: S_8 | ORDER_PRODUCT: P_10 | ORDER_QTY: 335
RECEIVER: S_8 | ORDER_PRODUCT: P_11 | ORDER_QTY: 232
RECEIVER: S_8 | ORDER_PRODUCT: P_12 | ORDER_QTY: 361
RECEIVER: S_8 | ORDER_PRODUCT: P_13 | ORDER_QTY: 299
RECEIVER: S_8 | ORDER_PRODUCT: P_15 | ORDER_QTY: 417
RECEIVER: S_8 | ORDER_PRODUCT: P_16 | ORDER_QTY: 392
RECEIVER: S_8 | ORDER_PRODUCT: P_17 | ORDER_QTY: 203
RECEIVER: S_8 | ORDER_PRODUCT: P_19 | ORDER_QTY: 355
RECEIVER: S_8 | ORDER_PRODUCT: P_20 | ORDER_QTY: 209
RECEIVER: S_8 | ORDER_PRODUCT: P_21 | ORDER_QTY: 492
RECEIVER: S_8 | ORDER_PRODUCT: P_22 | ORDER_QTY: 574
RECEIVER: S_8 | ORDER_PRODUCT: P_23 | ORDER_QTY: 180
RECEIVER: S_8 | ORDER_PRODUCT: P_24 | ORDER_QTY: 447
RECEIVER: S_8 | ORDER_PRODUCT: P_25 | ORDER_QTY: 443
RECEIVER: S_8 | ORDER_PRODUCT: P_26 | ORDER_QTY: 386
RECEIVER: S_8 | ORDER_PRODUCT: P_28 | ORDER_QTY: 251
RECEIVER: S_8 | ORDER_PRODUCT: P_29 | ORDER_QTY: 173
RECEIVER: S_8 | ORDER_PRODUCT: P_30 | ORDER_QTY: 281
