Order from Day_36. Please deliver 471 units of product P_1. Regards, Store S_9.
Order from Day_36. Please deliver 556 units of product P_2. Regards, Store S_9.
Order from Day_36. Please deliver 383 units of product P_6. Regards, Store S_9.
Order from Day_36. Please deliver 368 units of product P_7. Regards, Store S_9.
Order from Day_36. Please deliver 378 units of product P_8. Regards, Store S_9.
Order from Day_36. Please deliver 401 units of product P_9. Regards, Store S_9.
Order from Day_36. Please deliver 416 units of product P_10. Regards, Store S_9.
Order from Day_36. Please deliver 328 units of product P_12. Regards, Store S_9.
Order from Day_36. Please deliver 299 units of product P_13. Regards, Store S_9.
Order from Day_36. Please deliver 154 units of product P_14. Regards, Store S_9.
Order from Day_36. Please deliver 401 units of product P_15. Regards, Store S_9.
Order from Day_36. Please deliver 453 units of product P_19. Regards, Store S_9.
Order from Day_36. Please deliver 180 units of product P_20. Regards, Store S_9.
Order from Day_36. Please deliver 547 units of product P_21. Regards, Store S_9.
Order from Day_36. Please deliver 499 units of product P_22. Regards, Store S_9.
Order from Day_36. Please deliver 442 units of product P_25. Regards, Store S_9.
