Order from Day_117. Please deliver 408 units of product P_1. Regards, Store S_8.
Order from Day_117. Please deliver 356 units of product P_4. Regards, Store S_8.
Order from Day_117. Please deliver 420 units of product P_6. Regards, Store S_8.
Order from Day_117. Please deliver 365 units of product P_7. Regards, Store S_8.
Order from Day_117. Please deliver 416 units of product P_8. Regards, Store S_8.
Order from Day_117. Please deliver 302 units of product P_9. Regards, Store S_8.
Order from Day_117. Please deliver 392 units of product P_11. Regards, Store S_8.
Order from Day_117. Please deliver 399 units of product P_12. Regards, Store S_8.
Order from Day_117. Please deliver 469 units of product P_14. Regards, Store S_8.
Order from Day_117. Please deliver 409 units of product P_15. Regards, Store S_8.
Order from Day_117. Please deliver 387 units of product P_16. Regards, Store S_8.
Order from Day_117. Please deliver 478 units of product P_17. Regards, Store S_8.
Order from Day_117. Please deliver 555 units of product P_18. Regards, Store S_8.
Order from Day_117. Please deliver 477 units of product P_19. Regards, Store S_8.
Order from Day_117. Please deliver 445 units of product P_20. Regards, Store S_8.
Order from Day_117. Please deliver 414 units of product P_21. Regards, Store S_8.
Order from Day_117. Please deliver 424 units of product P_22. Regards, Store S_8.
Order from Day_117. Please deliver 421 units of product P_23. Regards, Store S_8.
Order from Day_117. Please deliver 447 units of product P_25. Regards, Store S_8.
Order from Day_117. Please deliver 552 units of product P_26. Regards, Store S_8.
Order from Day_117. Please deliver 508 units of product P_27. Regards, Store S_8.
Order from Day_117. Please deliver 476 units of product P_28. Regards, Store S_8.
Order from Day_117. Please deliver 526 units of product P_29. Regards, Store S_8.
