Order from Day_235. Please deliver 188 units of product P_1. Regards, Store S_2.
Order from Day_235. Please deliver 271 units of product P_2. Regards, Store S_2.
Order from Day_235. Please deliver 291 units of product P_3. Regards, Store S_2.
Order from Day_235. Please deliver 253 units of product P_6. Regards, Store S_2.
Order from Day_235. Please deliver 184 units of product P_7. Regards, Store S_2.
Order from Day_235. Please deliver 219 units of product P_8. Regards, Store S_2.
Order from Day_235. Please deliver 140 units of product P_9. Regards, Store S_2.
Order from Day_235. Please deliver 187 units of product P_10. Regards, Store S_2.
Order from Day_235. Please deliver 186 units of product P_11. Regards, Store S_2.
Order from Day_235. Please deliver 209 units of product P_12. Regards, Store S_2.
Order from Day_235. Please deliver 220 units of product P_13. Regards, Store S_2.
Order from Day_235. Please deliver 202 units of product P_14. Regards, Store S_2.
Order from Day_235. Please deliver 222 units of product P_15. Regards, Store S_2.
Order from Day_235. Please deliver 273 units of product P_16. Regards, Store S_2.
Order from Day_235. Please deliver 121 units of product P_17. Regards, Store S_2.
Order from Day_235. Please deliver 200 units of product P_19. Regards, Store S_2.
Order from Day_235. Please deliver 150 units of product P_20. Regards, Store S_2.
Order from Day_235. Please deliver 255 units of product P_21. Regards, Store S_2.
Order from Day_235. Please deliver 238 units of product P_22. Regards, Store S_2.
Order from Day_235. Please deliver 144 units of product P_23. Regards, Store S_2.
Order from Day_235. Please deliver 216 units of product P_24. Regards, Store S_2.
Order from Day_235. Please deliver 311 units of product P_25. Regards, Store S_2.
Order from Day_235. Please deliver 184 units of product P_26. Regards, Store S_2.
Order from Day_235. Please deliver 196 units of product P_28. Regards, Store S_2.
Order from Day_235. Please deliver 213 units of product P_29. Regards, Store S_2.
