RECEIVER: S_8 | ORDER_PRODUCT: P_1 | ORDER_QTY: 240
RECEIVER: S_8 | ORDER_PRODUCT: P_2 | ORDER_QTY: 317
RECEIVER: S_8 | ORDER_PRODUCT: P_3 | ORDER_QTY: 473
RECEIVER: S_8 | ORDER_PRODUCT: P_5 | ORDER_QTY: 242
RECEIVER: S_8 | ORDER_PRODUCT: P_6 | ORDER_QTY: 345
RECEIVER: S_8 | ORDER_PRODUCT: P_7 | ORDER_QTY: 504
RECEIVER: S_8 | ORDER_PRODUCT: P_8 | ORDER_QTY: 315
RECEIVER: S_8 | ORDER_PRODUCT: P_9 | ORDER_QTY: 147
RECEIVER: S_8 | ORDER_PRODUCT: P_10 | ORDER_QTY: 270
RECEIVER: S_8 | ORDER_PRODUCT: P_11 | ORDER_QTY: 313
RECEIVER: S_8 | ORDER_PRODUCT: P_12 | ORDER_QTY: 283
RECEIVER: S_8 | ORDER_PRODUCT: P_13 | ORDER_QTY: 320
RECEIVER: S_8 | ORDER_PRODUCT: P_14 | ORDER_QTY: 118
RECEIVER: S_8 | ORDER_PRODUCT: P_15 | ORDER_QTY: 464
RECEIVER: S_8 | ORDER_PRODUCT: P_16 | ORDER_QTY: 387
RECEIVER: S_8 | ORDER_PRODUCT: P_18 | ORDER_QTY: 121
RECEIVER: S_8 | ORDER_PRODUCT: P_19 | ORDER_QTY: 382
RECEIVER: S_8 | ORDER_PRODUCT: P_20 | ORDER_QTY: 172
RECEIVER: S_8 | ORDER_PRODUCT: P_21 | ORDER_QTY: 572
RECEIVER: S_8 | ORDER_PRODUCT: P_22 | ORDER_QTY: 626
RECEIVER: S_8 | ORDER_PRODUCT: P_23 | ORDER_QTY: 212
RECEIVER: S_8 | ORDER_PRODUCT: P_24 | ORDER_QTY: 435
RECEIVER: S_8 | ORDER_PRODUCT: P_25 | ORDER_QTY: 410
RECEIVER: S_8 | ORDER_PRODUCT: P_26 | ORDER_QTY: 482
RECEIVER: S_8 | ORDER_PRODUCT: P_27 | ORDER_QTY: 131
RECEIVER: S_8 | ORDER_PRODUCT: P_28 | ORDER_QTY: 289
RECEIVER: S_8 | ORDER_PRODUCT: P_29 | ORDER_QTY: 187
RECEIVER: S_8 | ORDER_PRODUCT: P_30 | ORDER_QTY: 247
