Order from Day_25. Please deliver 356 units of product P_2. Regards, Store S_1.
Order from Day_25. Please deliver 631 units of product P_3. Regards, Store S_1.
Order from Day_25. Please deliver 494 units of product P_4. Regards, Store S_1.
Order from Day_25. Please deliver 380 units of product P_5. Regards, Store S_1.
Order from Day_25. Please deliver 550 units of product P_6. Regards, Store S_1.
Order from Day_25. Please deliver 475 units of product P_7. Regards, Store S_1.
Order from Day_25. Please deliver 466 units of product P_8. Regards, Store S_1.
Order from Day_25. Please deliver 609 units of product P_9. Regards, Store S_1.
Order from Day_25. Please deliver 517 units of product P_10. Regards, Store S_1.
Order from Day_25. Please deliver 444 units of product P_11. Regards, Store S_1.
Order from Day_25. Please deliver 551 units of product P_12. Regards, Store S_1.
Order from Day_25. Please deliver 434 units of product P_13. Regards, Store S_1.
Order from Day_25. Please deliver 481 units of product P_14. Regards, Store S_1.
Order from Day_25. Please deliver 469 units of product P_15. Regards, Store S_1.
Order from Day_25. Please deliver 609 units of product P_16. Regards, Store S_1.
Order from Day_25. Please deliver 469 units of product P_17. Regards, Store S_1.
Order from Day_25. Please deliver 448 units of product P_18. Regards, Store S_1.
Order from Day_25. Please deliver 433 units of product P_19. Regards, Store S_1.
Order from Day_25. Please deliver 572 units of product P_20. Regards, Store S_1.
Order from Day_25. Please deliver 554 units of product P_21. Regards, Store S_1.
Order from Day_25. Please deliver 546 units of product P_22. Regards, Store S_1.
Order from Day_25. Please deliver 569 units of product P_23. Regards, Store S_1.
Order from Day_25. Please deliver 514 units of product P_24. Regards, Store S_1.
Order from Day_25. Please deliver 477 units of product P_25. Regards, Store S_1.
Order from Day_25. Please deliver 574 units of product P_26. Regards, Store S_1.
Order from Day_25. Please deliver 563 units of product P_27. Regards, Store S_1.
Order from Day_25. Please deliver 609 units of product P_28. Regards, Store S_1.
Order from Day_25. Please deliver 489 units of product P_30. Regards, Store S_1.
