RECEIVER: S_2 | ORDER_PRODUCT: P_1 | ORDER_QTY: 378
RECEIVER: S_2 | ORDER_PRODUCT: P_2 | ORDER_QTY: 304
RECEIVER: S_2 | ORDER_PRODUCT: P_3 | ORDER_QTY: 461
RECEIVER: S_2 | ORDER_PRODUCT: P_5 | ORDER_QTY: 428
RECEIVER: S_2 | ORDER_PRODUCT: P_6 | ORDER_QTY: 477
RECEIVER: S_2 | ORDER_PRODUCT: P_7 | ORDER_QTY: 480
RECEIVER: S_2 | ORDER_PRODUCT: P_9 | ORDER_QTY: 365
RECEIVER: S_2 | ORDER_PRODUCT: P_10 | ORDER_QTY: 355
RECEIVER: S_2 | ORDER_PRODUCT: P_11 | ORDER_QTY: 436
RECEIVER: S_2 | ORDER_PRODUCT: P_12 | ORDER_QTY: 354
RECEIVER: S_2 | ORDER_PRODUCT: P_13 | ORDER_QTY: 451
RECEIVER: S_2 | ORDER_PRODUCT: P_14 | ORDER_QTY: 295
RECEIVER: S_2 | ORDER_PRODUCT: P_15 | ORDER_QTY: 479
RECEIVER: S_2 | ORDER_PRODUCT: P_16 | ORDER_QTY: 385
RECEIVER: S_2 | ORDER_PRODUCT: P_17 | ORDER_QTY: 569
RECEIVER: S_2 | ORDER_PRODUCT: P_18 | ORDER_QTY: 550
RECEIVER: S_2 | ORDER_PRODUCT: P_19 | ORDER_QTY: 482
RECEIVER: S_2 | ORDER_PRODUCT: P_20 | ORDER_QTY: 513
RECEIVER: S_2 | ORDER_PRODUCT: P_22 | ORDER_QTY: 418
RECEIVER: S_2 | ORDER_PRODUCT: P_23 | ORDER_QTY: 485
RECEIVER: S_2 | ORDER_PRODUCT: P_24 | ORDER_QTY: 564
RECEIVER: S_2 | ORDER_PRODUCT: P_25 | ORDER_QTY: 374
RECEIVER: S_2 | ORDER_PRODUCT: P_26 | ORDER_QTY: 371
RECEIVER: S_2 | ORDER_PRODUCT: P_27 | ORDER_QTY: 465
RECEIVER: S_2 | ORDER_PRODUCT: P_28 | ORDER_QTY: 466
RECEIVER: S_2 | ORDER_PRODUCT: P_29 | ORDER_QTY: 379
RECEIVER: S_2 | ORDER_PRODUCT: P_30 | ORDER_QTY: 374
