Order from Day_158. Please deliver 369 units of product P_2. Regards, Store S_1.
Order from Day_158. Please deliver 512 units of product P_3. Regards, Store S_1.
Order from Day_158. Please deliver 422 units of product P_4. Regards, Store S_1.
Order from Day_158. Please deliver 432 units of product P_8. Regards, Store S_1.
Order from Day_158. Please deliver 516 units of product P_9. Regards, Store S_1.
Order from Day_158. Please deliver 390 units of product P_11. Regards, Store S_1.
Order from Day_158. Please deliver 498 units of product P_12. Regards, Store S_1.
Order from Day_158. Please deliver 544 units of product P_16. Regards, Store S_1.
Order from Day_158. Please deliver 397 units of product P_17. Regards, Store S_1.
Order from Day_158. Please deliver 398 units of product P_18. Regards, Store S_1.
Order from Day_158. Please deliver 508 units of product P_20. Regards, Store S_1.
Order from Day_158. Please deliver 522 units of product P_21. Regards, Store S_1.
Order from Day_158. Please deliver 454 units of product P_22. Regards, Store S_1.
Order from Day_158. Please deliver 450 units of product P_24. Regards, Store S_1.
Order from Day_158. Please deliver 467 units of product P_25. Regards, Store S_1.
Order from Day_158. Please deliver 559 units of product P_28. Regards, Store S_1.
