Order from Day_94. Please deliver 517 units of product P_1. Regards, Store S_1.
Order from Day_94. Please deliver 378 units of product P_2. Regards, Store S_1.
Order from Day_94. Please deliver 630 units of product P_3. Regards, Store S_1.
Order from Day_94. Please deliver 473 units of product P_4. Regards, Store S_1.
Order from Day_94. Please deliver 362 units of product P_5. Regards, Store S_1.
Order from Day_94. Please deliver 538 units of product P_6. Regards, Store S_1.
Order from Day_94. Please deliver 493 units of product P_7. Regards, Store S_1.
Order from Day_94. Please deliver 574 units of product P_9. Regards, Store S_1.
Order from Day_94. Please deliver 514 units of product P_10. Regards, Store S_1.
Order from Day_94. Please deliver 440 units of product P_11. Regards, Store S_1.
Order from Day_94. Please deliver 541 units of product P_12. Regards, Store S_1.
Order from Day_94. Please deliver 441 units of product P_13. Regards, Store S_1.
Order from Day_94. Please deliver 504 units of product P_14. Regards, Store S_1.
Order from Day_94. Please deliver 605 units of product P_16. Regards, Store S_1.
Order from Day_94. Please deliver 406 units of product P_17. Regards, Store S_1.
Order from Day_94. Please deliver 402 units of product P_18. Regards, Store S_1.
Order from Day_94. Please deliver 432 units of product P_19. Regards, Store S_1.
Order from Day_94. Please deliver 540 units of product P_20. Regards, Store S_1.
Order from Day_94. Please deliver 572 units of product P_21. Regards, Store S_1.
Order from Day_94. Please deliver 514 units of product P_22. Regards, Store S_1.
Order from Day_94. Please deliver 560 units of product P_23. Regards, Store S_1.
Order from Day_94. Please deliver 517 units of product P_24. Regards, Store S_1.
Order from Day_94. Please deliver 522 units of product P_25. Regards, Store S_1.
Order from Day_94. Please deliver 559 units of product P_26. Regards, Store S_1.
Order from Day_94. Please deliver 567 units of product P_27. Regards, Store S_1.
Order from Day_94. Please deliver 585 units of product P_28. Regards, Store S_1.
Order from Day_94. Please deliver 509 units of product P_29. Regards, Store S_1.
Order from Day_94. Please deliver 500 units of product P_30. Regards, Store S_1.
