Order from Day_290. Please deliver 507 units of product P_1. Regards, Store S_1.
Order from Day_290. Please deliver 375 units of product P_2. Regards, Store S_1.
Order from Day_290. Please deliver 609 units of product P_3. Regards, Store S_1.
Order from Day_290. Please deliver 483 units of product P_4. Regards, Store S_1.
Order from Day_290. Please deliver 379 units of product P_5. Regards, Store S_1.
Order from Day_290. Please deliver 534 units of product P_6. Regards, Store S_1.
Order from Day_290. Please deliver 498 units of product P_7. Regards, Store S_1.
Order from Day_290. Please deliver 549 units of product P_9. Regards, Store S_1.
Order from Day_290. Please deliver 403 units of product P_11. Regards, Store S_1.
Order from Day_290. Please deliver 537 units of product P_12. Regards, Store S_1.
Order from Day_290. Please deliver 415 units of product P_13. Regards, Store S_1.
Order from Day_290. Please deliver 473 units of product P_15. Regards, Store S_1.
Order from Day_290. Please deliver 567 units of product P_16. Regards, Store S_1.
Order from Day_290. Please deliver 398 units of product P_17. Regards, Store S_1.
Order from Day_290. Please deliver 383 units of product P_18. Regards, Store S_1.
Order from Day_290. Please deliver 430 units of product P_19. Regards, Store S_1.
Order from Day_290. Please deliver 529 units of product P_20. Regards, Store S_1.
Order from Day_290. Please deliver 569 units of product P_21. Regards, Store S_1.
Order from Day_290. Please deliver 500 units of product P_22. Regards, Store S_1.
Order from Day_290. Please deliver 547 units of product P_23. Regards, Store S_1.
Order from Day_290. Please deliver 502 units of product P_24. Regards, Store S_1.
Order from Day_290. Please deliver 453 units of product P_25. Regards, Store S_1.
Order from Day_290. Please deliver 553 units of product P_26. Regards, Store S_1.
Order from Day_290. Please deliver 557 units of product P_27. Regards, Store S_1.
Order from Day_290. Please deliver 579 units of product P_28. Regards, Store S_1.
Order from Day_290. Please deliver 476 units of product P_29. Regards, Store S_1.
Order from Day_290. Please deliver 490 units of product P_30. Regards, Store S_1.
