Order from Day_23. Please deliver 366 units of product P_2. Regards, Store S_1.
Order from Day_23. Please deliver 622 units of product P_3. Regards, Store S_1.
Order from Day_23. Please deliver 481 units of product P_4. Regards, Store S_1.
Order from Day_23. Please deliver 381 units of product P_5. Regards, Store S_1.
Order from Day_23. Please deliver 543 units of product P_6. Regards, Store S_1.
Order from Day_23. Please deliver 479 units of product P_7. Regards, Store S_1.
Order from Day_23. Please deliver 468 units of product P_8. Regards, Store S_1.
Order from Day_23. Please deliver 609 units of product P_9. Regards, Store S_1.
Order from Day_23. Please deliver 485 units of product P_10. Regards, Store S_1.
Order from Day_23. Please deliver 425 units of product P_11. Regards, Store S_1.
Order from Day_23. Please deliver 547 units of product P_12. Regards, Store S_1.
Order from Day_23. Please deliver 424 units of product P_13. Regards, Store S_1.
Order from Day_23. Please deliver 489 units of product P_14. Regards, Store S_1.
Order from Day_23. Please deliver 449 units of product P_15. Regards, Store S_1.
Order from Day_23. Please deliver 592 units of product P_16. Regards, Store S_1.
Order from Day_23. Please deliver 469 units of product P_17. Regards, Store S_1.
Order from Day_23. Please deliver 448 units of product P_18. Regards, Store S_1.
Order from Day_23. Please deliver 438 units of product P_19. Regards, Store S_1.
Order from Day_23. Please deliver 561 units of product P_20. Regards, Store S_1.
Order from Day_23. Please deliver 559 units of product P_21. Regards, Store S_1.
Order from Day_23. Please deliver 546 units of product P_22. Regards, Store S_1.
Order from Day_23. Please deliver 565 units of product P_23. Regards, Store S_1.
Order from Day_23. Please deliver 507 units of product P_24. Regards, Store S_1.
Order from Day_23. Please deliver 472 units of product P_25. Regards, Store S_1.
Order from Day_23. Please deliver 574 units of product P_26. Regards, Store S_1.
Order from Day_23. Please deliver 554 units of product P_27. Regards, Store S_1.
Order from Day_23. Please deliver 609 units of product P_28. Regards, Store S_1.
Order from Day_23. Please deliver 482 units of product P_30. Regards, Store S_1.
