Order from Day_70. Please deliver 514 units of product P_1. Regards, Store S_1.
Order from Day_70. Please deliver 632 units of product P_3. Regards, Store S_1.
Order from Day_70. Please deliver 369 units of product P_5. Regards, Store S_1.
Order from Day_70. Please deliver 536 units of product P_6. Regards, Store S_1.
Order from Day_70. Please deliver 464 units of product P_7. Regards, Store S_1.
Order from Day_70. Please deliver 472 units of product P_8. Regards, Store S_1.
Order from Day_70. Please deliver 553 units of product P_9. Regards, Store S_1.
Order from Day_70. Please deliver 514 units of product P_10. Regards, Store S_1.
Order from Day_70. Please deliver 413 units of product P_11. Regards, Store S_1.
Order from Day_70. Please deliver 547 units of product P_12. Regards, Store S_1.
Order from Day_70. Please deliver 444 units of product P_13. Regards, Store S_1.
Order from Day_70. Please deliver 497 units of product P_14. Regards, Store S_1.
Order from Day_70. Please deliver 456 units of product P_15. Regards, Store S_1.
Order from Day_70. Please deliver 586 units of product P_16. Regards, Store S_1.
Order from Day_70. Please deliver 426 units of product P_17. Regards, Store S_1.
Order from Day_70. Please deliver 433 units of product P_18. Regards, Store S_1.
Order from Day_70. Please deliver 439 units of product P_19. Regards, Store S_1.
Order from Day_70. Please deliver 549 units of product P_20. Regards, Store S_1.
Order from Day_70. Please deliver 559 units of product P_21. Regards, Store S_1.
Order from Day_70. Please deliver 496 units of product P_22. Regards, Store S_1.
Order from Day_70. Please deliver 544 units of product P_23. Regards, Store S_1.
Order from Day_70. Please deliver 508 units of product P_24. Regards, Store S_1.
Order from Day_70. Please deliver 541 units of product P_25. Regards, Store S_1.
Order from Day_70. Please deliver 548 units of product P_26. Regards, Store S_1.
Order from Day_70. Please deliver 559 units of product P_27. Regards, Store S_1.
Order from Day_70. Please deliver 604 units of product P_28. Regards, Store S_1.
Order from Day_70. Please deliver 504 units of product P_29. Regards, Store S_1.
Order from Day_70. Please deliver 485 units of product P_30. Regards, Store S_1.
