RECEIVER: S_8 | ORDER_PRODUCT: P_1 | ORDER_QTY: 158
RECEIVER: S_8 | ORDER_PRODUCT: P_2 | ORDER_QTY: 268
RECEIVER: S_8 | ORDER_PRODUCT: P_3 | ORDER_QTY: 378
RECEIVER: S_8 | ORDER_PRODUCT: P_4 | ORDER_QTY: 210
RECEIVER: S_8 | ORDER_PRODUCT: P_6 | ORDER_QTY: 236
RECEIVER: S_8 | ORDER_PRODUCT: P_7 | ORDER_QTY: 295
RECEIVER: S_8 | ORDER_PRODUCT: P_8 | ORDER_QTY: 146
RECEIVER: S_8 | ORDER_PRODUCT: P_9 | ORDER_QTY: 216
RECEIVER: S_8 | ORDER_PRODUCT: P_10 | ORDER_QTY: 246
RECEIVER: S_8 | ORDER_PRODUCT: P_11 | ORDER_QTY: 253
RECEIVER: S_8 | ORDER_PRODUCT: P_12 | ORDER_QTY: 158
RECEIVER: S_8 | ORDER_PRODUCT: P_13 | ORDER_QTY: 241
RECEIVER: S_8 | ORDER_PRODUCT: P_15 | ORDER_QTY: 361
RECEIVER: S_8 | ORDER_PRODUCT: P_16 | ORDER_QTY: 327
RECEIVER: S_8 | ORDER_PRODUCT: P_18 | ORDER_QTY: 125
RECEIVER: S_8 | ORDER_PRODUCT: P_19 | ORDER_QTY: 239
RECEIVER: S_8 | ORDER_PRODUCT: P_20 | ORDER_QTY: 134
RECEIVER: S_8 | ORDER_PRODUCT: P_21 | ORDER_QTY: 485
RECEIVER: S_8 | ORDER_PRODUCT: P_22 | ORDER_QTY: 529
RECEIVER: S_8 | ORDER_PRODUCT: P_24 | ORDER_QTY: 372
RECEIVER: S_8 | ORDER_PRODUCT: P_25 | ORDER_QTY: 343
RECEIVER: S_8 | ORDER_PRODUCT: P_26 | ORDER_QTY: 303
RECEIVER: S_8 | ORDER_PRODUCT: P_28 | ORDER_QTY: 234
RECEIVER: S_8 | ORDER_PRODUCT: P_30 | ORDER_QTY: 235
