Order from Day_93. Please deliver 376 units of product P_2. Regards, Store S_8.
Order from Day_93. Please deliver 364 units of product P_3. Regards, Store S_8.
Order from Day_93. Please deliver 345 units of product P_5. Regards, Store S_8.
Order from Day_93. Please deliver 383 units of product P_13. Regards, Store S_8.
Order from Day_93. Please deliver 472 units of product P_14. Regards, Store S_8.
Order from Day_93. Please deliver 396 units of product P_16. Regards, Store S_8.
Order from Day_93. Please deliver 454 units of product P_17. Regards, Store S_8.
Order from Day_93. Please deliver 548 units of product P_18. Regards, Store S_8.
Order from Day_93. Please deliver 451 units of product P_20. Regards, Store S_8.
Order from Day_93. Please deliver 414 units of product P_21. Regards, Store S_8.
Order from Day_93. Please deliver 446 units of product P_22. Regards, Store S_8.
Order from Day_93. Please deliver 475 units of product P_28. Regards, Store S_8.
Order from Day_93. Please deliver 203 units of product P_30. Regards, Store S_8.
