Order from Day_174. Please deliver 148 units of product P_1. Regards, Store S_2.
Order from Day_174. Please deliver 215 units of product P_2. Regards, Store S_2.
Order from Day_174. Please deliver 269 units of product P_3. Regards, Store S_2.
Order from Day_174. Please deliver 112 units of product P_4. Regards, Store S_2.
Order from Day_174. Please deliver 159 units of product P_5. Regards, Store S_2.
Order from Day_174. Please deliver 161 units of product P_6. Regards, Store S_2.
Order from Day_174. Please deliver 108 units of product P_7. Regards, Store S_2.
Order from Day_174. Please deliver 161 units of product P_8. Regards, Store S_2.
Order from Day_174. Please deliver 130 units of product P_9. Regards, Store S_2.
Order from Day_174. Please deliver 142 units of product P_10. Regards, Store S_2.
Order from Day_174. Please deliver 163 units of product P_11. Regards, Store S_2.
Order from Day_174. Please deliver 138 units of product P_12. Regards, Store S_2.
Order from Day_174. Please deliver 161 units of product P_13. Regards, Store S_2.
Order from Day_174. Please deliver 201 units of product P_15. Regards, Store S_2.
Order from Day_174. Please deliver 242 units of product P_16. Regards, Store S_2.
Order from Day_174. Please deliver 175 units of product P_19. Regards, Store S_2.
Order from Day_174. Please deliver 84 units of product P_20. Regards, Store S_2.
Order from Day_174. Please deliver 235 units of product P_21. Regards, Store S_2.
Order from Day_174. Please deliver 215 units of product P_22. Regards, Store S_2.
Order from Day_174. Please deliver 95 units of product P_23. Regards, Store S_2.
Order from Day_174. Please deliver 166 units of product P_24. Regards, Store S_2.
Order from Day_174. Please deliver 309 units of product P_25. Regards, Store S_2.
Order from Day_174. Please deliver 200 units of product P_28. Regards, Store S_2.
Order from Day_174. Please deliver 190 units of product P_29. Regards, Store S_2.
Order from Day_174. Please deliver 254 units of product P_30. Regards, Store S_2.
