RECEIVER: S_2 | ORDER_PRODUCT: P_1 | ORDER_QTY: 365
RECEIVER: S_2 | ORDER_PRODUCT: P_3 | ORDER_QTY: 460
RECEIVER: S_2 | ORDER_PRODUCT: P_4 | ORDER_QTY: 384
RECEIVER: S_2 | ORDER_PRODUCT: P_5 | ORDER_QTY: 396
RECEIVER: S_2 | ORDER_PRODUCT: P_6 | ORDER_QTY: 421
RECEIVER: S_2 | ORDER_PRODUCT: P_7 | ORDER_QTY: 423
RECEIVER: S_2 | ORDER_PRODUCT: P_8 | ORDER_QTY: 385
RECEIVER: S_2 | ORDER_PRODUCT: P_9 | ORDER_QTY: 281
RECEIVER: S_2 | ORDER_PRODUCT: P_10 | ORDER_QTY: 304
RECEIVER: S_2 | ORDER_PRODUCT: P_11 | ORDER_QTY: 415
RECEIVER: S_2 | ORDER_PRODUCT: P_12 | ORDER_QTY: 327
RECEIVER: S_2 | ORDER_PRODUCT: P_13 | ORDER_QTY: 381
RECEIVER: S_2 | ORDER_PRODUCT: P_14 | ORDER_QTY: 296
RECEIVER: S_2 | ORDER_PRODUCT: P_15 | ORDER_QTY: 385
RECEIVER: S_2 | ORDER_PRODUCT: P_16 | ORDER_QTY: 345
RECEIVER: S_2 | ORDER_PRODUCT: P_17 | ORDER_QTY: 491
RECEIVER: S_2 | ORDER_PRODUCT: P_18 | ORDER_QTY: 479
RECEIVER: S_2 | ORDER_PRODUCT: P_19 | ORDER_QTY: 410
RECEIVER: S_2 | ORDER_PRODUCT: P_20 | ORDER_QTY: 418
RECEIVER: S_2 | ORDER_PRODUCT: P_21 | ORDER_QTY: 393
RECEIVER: S_2 | ORDER_PRODUCT: P_22 | ORDER_QTY: 366
RECEIVER: S_2 | ORDER_PRODUCT: P_23 | ORDER_QTY: 420
RECEIVER: S_2 | ORDER_PRODUCT: P_24 | ORDER_QTY: 444
RECEIVER: S_2 | ORDER_PRODUCT: P_25 | ORDER_QTY: 343
RECEIVER: S_2 | ORDER_PRODUCT: P_26 | ORDER_QTY: 359
RECEIVER: S_2 | ORDER_PRODUCT: P_27 | ORDER_QTY: 443
RECEIVER: S_2 | ORDER_PRODUCT: P_28 | ORDER_QTY: 393
RECEIVER: S_2 | ORDER_PRODUCT: P_30 | ORDER_QTY: 325
