RECEIVER: S_10 | ORDER_PRODUCT: P_1 | ORDER_QTY: 240
RECEIVER: S_10 | ORDER_PRODUCT: P_2 | ORDER_QTY: 229
RECEIVER: S_10 | ORDER_PRODUCT: P_3 | ORDER_QTY: 327
RECEIVER: S_10 | ORDER_PRODUCT: P_6 | ORDER_QTY: 153
RECEIVER: S_10 | ORDER_PRODUCT: P_7 | ORDER_QTY: 310
RECEIVER: S_10 | ORDER_PRODUCT: P_8 | ORDER_QTY: 201
RECEIVER: S_10 | ORDER_PRODUCT: P_10 | ORDER_QTY: 317
RECEIVER: S_10 | ORDER_PRODUCT: P_15 | ORDER_QTY: 317
RECEIVER: S_10 | ORDER_PRODUCT: P_16 | ORDER_QTY: 301
RECEIVER: S_10 | ORDER_PRODUCT: P_19 | ORDER_QTY: 230
RECEIVER: S_10 | ORDER_PRODUCT: P_21 | ORDER_QTY: 353
RECEIVER: S_10 | ORDER_PRODUCT: P_22 | ORDER_QTY: 362
RECEIVER: S_10 | ORDER_PRODUCT: P_24 | ORDER_QTY: 256
