Order from Day_24. Please deliver 361 units of product P_2. Regards, Store S_1.
Order from Day_24. Please deliver 626 units of product P_3. Regards, Store S_1.
Order from Day_24. Please deliver 484 units of product P_4. Regards, Store S_1.
Order from Day_24. Please deliver 379 units of product P_5. Regards, Store S_1.
Order from Day_24. Please deliver 547 units of product P_6. Regards, Store S_1.
Order from Day_24. Please deliver 476 units of product P_7. Regards, Store S_1.
Order from Day_24. Please deliver 467 units of product P_8. Regards, Store S_1.
Order from Day_24. Please deliver 609 units of product P_9. Regards, Store S_1.
Order from Day_24. Please deliver 514 units of product P_10. Regards, Store S_1.
Order from Day_24. Please deliver 433 units of product P_11. Regards, Store S_1.
Order from Day_24. Please deliver 550 units of product P_12. Regards, Store S_1.
Order from Day_24. Please deliver 429 units of product P_13. Regards, Store S_1.
Order from Day_24. Please deliver 486 units of product P_14. Regards, Store S_1.
Order from Day_24. Please deliver 471 units of product P_15. Regards, Store S_1.
Order from Day_24. Please deliver 599 units of product P_16. Regards, Store S_1.
Order from Day_24. Please deliver 469 units of product P_17. Regards, Store S_1.
Order from Day_24. Please deliver 448 units of product P_18. Regards, Store S_1.
Order from Day_24. Please deliver 435 units of product P_19. Regards, Store S_1.
Order from Day_24. Please deliver 566 units of product P_20. Regards, Store S_1.
Order from Day_24. Please deliver 556 units of product P_21. Regards, Store S_1.
Order from Day_24. Please deliver 546 units of product P_22. Regards, Store S_1.
Order from Day_24. Please deliver 566 units of product P_23. Regards, Store S_1.
Order from Day_24. Please deliver 512 units of product P_24. Regards, Store S_1.
Order from Day_24. Please deliver 474 units of product P_25. Regards, Store S_1.
Order from Day_24. Please deliver 574 units of product P_26. Regards, Store S_1.
Order from Day_24. Please deliver 556 units of product P_27. Regards, Store S_1.
Order from Day_24. Please deliver 609 units of product P_28. Regards, Store S_1.
Order from Day_24. Please deliver 484 units of product P_30. Regards, Store S_1.
