Order from Day_344. Please deliver 286 units of product P_1. Regards, Store S_4.
Order from Day_344. Please deliver 289 units of product P_2. Regards, Store S_4.
Order from Day_344. Please deliver 361 units of product P_3. Regards, Store S_4.
Order from Day_344. Please deliver 253 units of product P_4. Regards, Store S_4.
Order from Day_344. Please deliver 279 units of product P_5. Regards, Store S_4.
Order from Day_344. Please deliver 289 units of product P_6. Regards, Store S_4.
Order from Day_344. Please deliver 487 units of product P_7. Regards, Store S_4.
Order from Day_344. Please deliver 389 units of product P_8. Regards, Store S_4.
Order from Day_344. Please deliver 268 units of product P_9. Regards, Store S_4.
Order from Day_344. Please deliver 300 units of product P_10. Regards, Store S_4.
Order from Day_344. Please deliver 299 units of product P_11. Regards, Store S_4.
Order from Day_344. Please deliver 332 units of product P_12. Regards, Store S_4.
Order from Day_344. Please deliver 341 units of product P_13. Regards, Store S_4.
Order from Day_344. Please deliver 425 units of product P_15. Regards, Store S_4.
Order from Day_344. Please deliver 380 units of product P_16. Regards, Store S_4.
Order from Day_344. Please deliver 306 units of product P_17. Regards, Store S_4.
Order from Day_344. Please deliver 530 units of product P_19. Regards, Store S_4.
Order from Day_344. Please deliver 213 units of product P_20. Regards, Store S_4.
Order from Day_344. Please deliver 471 units of product P_21. Regards, Store S_4.
Order from Day_344. Please deliver 459 units of product P_22. Regards, Store S_4.
Order from Day_344. Please deliver 272 units of product P_23. Regards, Store S_4.
Order from Day_344. Please deliver 272 units of product P_24. Regards, Store S_4.
Order from Day_344. Please deliver 388 units of product P_25. Regards, Store S_4.
Order from Day_344. Please deliver 288 units of product P_26. Regards, Store S_4.
Order from Day_344. Please deliver 179 units of product P_27. Regards, Store S_4.
Order from Day_344. Please deliver 282 units of product P_28. Regards, Store S_4.
Order from Day_344. Please deliver 366 units of product P_30. Regards, Store S_4.
