RECEIVER: S_10 | ORDER_PRODUCT: P_1 | ORDER_QTY: 256
RECEIVER: S_10 | ORDER_PRODUCT: P_2 | ORDER_QTY: 351
RECEIVER: S_10 | ORDER_PRODUCT: P_3 | ORDER_QTY: 419
RECEIVER: S_10 | ORDER_PRODUCT: P_5 | ORDER_QTY: 352
RECEIVER: S_10 | ORDER_PRODUCT: P_6 | ORDER_QTY: 306
RECEIVER: S_10 | ORDER_PRODUCT: P_7 | ORDER_QTY: 466
RECEIVER: S_10 | ORDER_PRODUCT: P_8 | ORDER_QTY: 370
RECEIVER: S_10 | ORDER_PRODUCT: P_9 | ORDER_QTY: 363
RECEIVER: S_10 | ORDER_PRODUCT: P_10 | ORDER_QTY: 419
RECEIVER: S_10 | ORDER_PRODUCT: P_11 | ORDER_QTY: 430
RECEIVER: S_10 | ORDER_PRODUCT: P_12 | ORDER_QTY: 302
RECEIVER: S_10 | ORDER_PRODUCT: P_13 | ORDER_QTY: 284
RECEIVER: S_10 | ORDER_PRODUCT: P_15 | ORDER_QTY: 446
RECEIVER: S_10 | ORDER_PRODUCT: P_16 | ORDER_QTY: 390
RECEIVER: S_10 | ORDER_PRODUCT: P_19 | ORDER_QTY: 376
RECEIVER: S_10 | ORDER_PRODUCT: P_21 | ORDER_QTY: 463
RECEIVER: S_10 | ORDER_PRODUCT: P_22 | ORDER_QTY: 486
RECEIVER: S_10 | ORDER_PRODUCT: P_23 | ORDER_QTY: 293
RECEIVER: S_10 | ORDER_PRODUCT: P_24 | ORDER_QTY: 350
RECEIVER: S_10 | ORDER_PRODUCT: P_25 | ORDER_QTY: 382
RECEIVER: S_10 | ORDER_PRODUCT: P_28 | ORDER_QTY: 290
RECEIVER: S_10 | ORDER_PRODUCT: P_29 | ORDER_QTY: 411
RECEIVER: S_10 | ORDER_PRODUCT: P_30 | ORDER_QTY: 409
