RECEIVER: S_5 | ORDER_PRODUCT: P_1 | ORDER_QTY: 176
RECEIVER: S_5 | ORDER_PRODUCT: P_2 | ORDER_QTY: 222
RECEIVER: S_5 | ORDER_PRODUCT: P_3 | ORDER_QTY: 253
RECEIVER: S_5 | ORDER_PRODUCT: P_5 | ORDER_QTY: 220
RECEIVER: S_5 | ORDER_PRODUCT: P_6 | ORDER_QTY: 224
RECEIVER: S_5 | ORDER_PRODUCT: P_8 | ORDER_QTY: 186
RECEIVER: S_5 | ORDER_PRODUCT: P_9 | ORDER_QTY: 161
RECEIVER: S_5 | ORDER_PRODUCT: P_10 | ORDER_QTY: 109
RECEIVER: S_5 | ORDER_PRODUCT: P_11 | ORDER_QTY: 147
RECEIVER: S_5 | ORDER_PRODUCT: P_12 | ORDER_QTY: 242
RECEIVER: S_5 | ORDER_PRODUCT: P_15 | ORDER_QTY: 321
RECEIVER: S_5 | ORDER_PRODUCT: P_16 | ORDER_QTY: 227
RECEIVER: S_5 | ORDER_PRODUCT: P_19 | ORDER_QTY: 160
RECEIVER: S_5 | ORDER_PRODUCT: P_21 | ORDER_QTY: 307
RECEIVER: S_5 | ORDER_PRODUCT: P_22 | ORDER_QTY: 286
RECEIVER: S_5 | ORDER_PRODUCT: P_23 | ORDER_QTY: 119
RECEIVER: S_5 | ORDER_PRODUCT: P_24 | ORDER_QTY: 250
RECEIVER: S_5 | ORDER_PRODUCT: P_25 | ORDER_QTY: 288
RECEIVER: S_5 | ORDER_PRODUCT: P_27 | ORDER_QTY: 165
RECEIVER: S_5 | ORDER_PRODUCT: P_29 | ORDER_QTY: 252
RECEIVER: S_5 | ORDER_PRODUCT: P_30 | ORDER_QTY: 232
