Order from Day_283. Please deliver 495 units of product P_1. Regards, Store S_1.
Order from Day_283. Please deliver 641 units of product P_3. Regards, Store S_1.
Order from Day_283. Please deliver 553 units of product P_6. Regards, Store S_1.
Order from Day_283. Please deliver 456 units of product P_7. Regards, Store S_1.
Order from Day_283. Please deliver 595 units of product P_9. Regards, Store S_1.
Order from Day_283. Please deliver 424 units of product P_11. Regards, Store S_1.
Order from Day_283. Please deliver 550 units of product P_12. Regards, Store S_1.
Order from Day_283. Please deliver 626 units of product P_16. Regards, Store S_1.
Order from Day_283. Please deliver 449 units of product P_17. Regards, Store S_1.
Order from Day_283. Please deliver 405 units of product P_18. Regards, Store S_1.
Order from Day_283. Please deliver 590 units of product P_20. Regards, Store S_1.
Order from Day_283. Please deliver 534 units of product P_21. Regards, Store S_1.
Order from Day_283. Please deliver 523 units of product P_22. Regards, Store S_1.
Order from Day_283. Please deliver 518 units of product P_23. Regards, Store S_1.
Order from Day_283. Please deliver 524 units of product P_25. Regards, Store S_1.
Order from Day_283. Please deliver 557 units of product P_27. Regards, Store S_1.
Order from Day_283. Please deliver 604 units of product P_28. Regards, Store S_1.
Order from Day_283. Please deliver 469 units of product P_30. Regards, Store S_1.
