Order from Day_95. Please deliver 276 units of product P_1. Regards, Store S_6.
Order from Day_95. Please deliver 282 units of product P_2. Regards, Store S_6.
Order from Day_95. Please deliver 343 units of product P_3. Regards, Store S_6.
Order from Day_95. Please deliver 264 units of product P_5. Regards, Store S_6.
Order from Day_95. Please deliver 250 units of product P_6. Regards, Store S_6.
Order from Day_95. Please deliver 395 units of product P_7. Regards, Store S_6.
Order from Day_95. Please deliver 258 units of product P_8. Regards, Store S_6.
Order from Day_95. Please deliver 244 units of product P_10. Regards, Store S_6.
Order from Day_95. Please deliver 345 units of product P_11. Regards, Store S_6.
Order from Day_95. Please deliver 246 units of product P_12. Regards, Store S_6.
Order from Day_95. Please deliver 240 units of product P_13. Regards, Store S_6.
Order from Day_95. Please deliver 331 units of product P_15. Regards, Store S_6.
Order from Day_95. Please deliver 410 units of product P_16. Regards, Store S_6.
Order from Day_95. Please deliver 207 units of product P_17. Regards, Store S_6.
Order from Day_95. Please deliver 319 units of product P_19. Regards, Store S_6.
Order from Day_95. Please deliver 435 units of product P_21. Regards, Store S_6.
Order from Day_95. Please deliver 364 units of product P_22. Regards, Store S_6.
Order from Day_95. Please deliver 256 units of product P_23. Regards, Store S_6.
Order from Day_95. Please deliver 440 units of product P_24. Regards, Store S_6.
Order from Day_95. Please deliver 367 units of product P_25. Regards, Store S_6.
Order from Day_95. Please deliver 368 units of product P_28. Regards, Store S_6.
Order from Day_95. Please deliver 195 units of product P_29. Regards, Store S_6.
