Order from Day_99. Please deliver 232 units of product P_1. Regards, Store S_4.
Order from Day_99. Please deliver 204 units of product P_2. Regards, Store S_4.
Order from Day_99. Please deliver 345 units of product P_3. Regards, Store S_4.
Order from Day_99. Please deliver 370 units of product P_6. Regards, Store S_4.
Order from Day_99. Please deliver 431 units of product P_7. Regards, Store S_4.
Order from Day_99. Please deliver 295 units of product P_8. Regards, Store S_4.
Order from Day_99. Please deliver 277 units of product P_9. Regards, Store S_4.
Order from Day_99. Please deliver 269 units of product P_10. Regards, Store S_4.
Order from Day_99. Please deliver 194 units of product P_12. Regards, Store S_4.
Order from Day_99. Please deliver 440 units of product P_15. Regards, Store S_4.
Order from Day_99. Please deliver 328 units of product P_16. Regards, Store S_4.
Order from Day_99. Please deliver 293 units of product P_17. Regards, Store S_4.
Order from Day_99. Please deliver 139 units of product P_18. Regards, Store S_4.
Order from Day_99. Please deliver 403 units of product P_19. Regards, Store S_4.
Order from Day_99. Please deliver 422 units of product P_21. Regards, Store S_4.
Order from Day_99. Please deliver 447 units of product P_22. Regards, Store S_4.
Order from Day_99. Please deliver 249 units of product P_23. Regards, Store S_4.
Order from Day_99. Please deliver 328 units of product P_25. Regards, Store S_4.
Order from Day_99. Please deliver 270 units of product P_29. Regards, Store S_4.
