Order from Day_188. Please deliver 147 units of product P_1. Regards, Store S_6.
Order from Day_188. Please deliver 250 units of product P_2. Regards, Store S_6.
Order from Day_188. Please deliver 245 units of product P_3. Regards, Store S_6.
Order from Day_188. Please deliver 222 units of product P_5. Regards, Store S_6.
Order from Day_188. Please deliver 147 units of product P_6. Regards, Store S_6.
Order from Day_188. Please deliver 226 units of product P_7. Regards, Store S_6.
Order from Day_188. Please deliver 155 units of product P_8. Regards, Store S_6.
Order from Day_188. Please deliver 150 units of product P_10. Regards, Store S_6.
Order from Day_188. Please deliver 242 units of product P_11. Regards, Store S_6.
Order from Day_188. Please deliver 125 units of product P_12. Regards, Store S_6.
Order from Day_188. Please deliver 167 units of product P_13. Regards, Store S_6.
Order from Day_188. Please deliver 286 units of product P_15. Regards, Store S_6.
Order from Day_188. Please deliver 338 units of product P_16. Regards, Store S_6.
Order from Day_188. Please deliver 224 units of product P_19. Regards, Store S_6.
Order from Day_188. Please deliver 314 units of product P_21. Regards, Store S_6.
Order from Day_188. Please deliver 293 units of product P_22. Regards, Store S_6.
Order from Day_188. Please deliver 330 units of product P_24. Regards, Store S_6.
Order from Day_188. Please deliver 277 units of product P_25. Regards, Store S_6.
Order from Day_188. Please deliver 145 units of product P_29. Regards, Store S_6.
Order from Day_188. Please deliver 271 units of product P_30. Regards, Store S_6.
