Order from Day_13. Please deliver 261 units of product P_1. Regards, Store S_6.
Order from Day_13. Please deliver 340 units of product P_2. Regards, Store S_6.
Order from Day_13. Please deliver 385 units of product P_3. Regards, Store S_6.
Order from Day_13. Please deliver 348 units of product P_5. Regards, Store S_6.
Order from Day_13. Please deliver 281 units of product P_6. Regards, Store S_6.
Order from Day_13. Please deliver 430 units of product P_7. Regards, Store S_6.
Order from Day_13. Please deliver 293 units of product P_8. Regards, Store S_6.
Order from Day_13. Please deliver 283 units of product P_10. Regards, Store S_6.
Order from Day_13. Please deliver 381 units of product P_11. Regards, Store S_6.
Order from Day_13. Please deliver 290 units of product P_12. Regards, Store S_6.
Order from Day_13. Please deliver 269 units of product P_13. Regards, Store S_6.
Order from Day_13. Please deliver 357 units of product P_15. Regards, Store S_6.
Order from Day_13. Please deliver 448 units of product P_16. Regards, Store S_6.
Order from Day_13. Please deliver 376 units of product P_18. Regards, Store S_6.
Order from Day_13. Please deliver 357 units of product P_19. Regards, Store S_6.
Order from Day_13. Please deliver 305 units of product P_20. Regards, Store S_6.
Order from Day_13. Please deliver 456 units of product P_21. Regards, Store S_6.
Order from Day_13. Please deliver 380 units of product P_22. Regards, Store S_6.
Order from Day_13. Please deliver 399 units of product P_23. Regards, Store S_6.
Order from Day_13. Please deliver 476 units of product P_24. Regards, Store S_6.
Order from Day_13. Please deliver 357 units of product P_25. Regards, Store S_6.
Order from Day_13. Please deliver 364 units of product P_28. Regards, Store S_6.
Order from Day_13. Please deliver 346 units of product P_29. Regards, Store S_6.
Order from Day_13. Please deliver 438 units of product P_30. Regards, Store S_6.
