Order from Day_199. Please deliver 127 units of product P_1. Regards, Store S_6.
Order from Day_199. Please deliver 266 units of product P_2. Regards, Store S_6.
Order from Day_199. Please deliver 248 units of product P_3. Regards, Store S_6.
Order from Day_199. Please deliver 125 units of product P_4. Regards, Store S_6.
Order from Day_199. Please deliver 198 units of product P_5. Regards, Store S_6.
Order from Day_199. Please deliver 190 units of product P_6. Regards, Store S_6.
Order from Day_199. Please deliver 247 units of product P_7. Regards, Store S_6.
Order from Day_199. Please deliver 157 units of product P_8. Regards, Store S_6.
Order from Day_199. Please deliver 175 units of product P_9. Regards, Store S_6.
Order from Day_199. Please deliver 160 units of product P_10. Regards, Store S_6.
Order from Day_199. Please deliver 276 units of product P_11. Regards, Store S_6.
Order from Day_199. Please deliver 152 units of product P_12. Regards, Store S_6.
Order from Day_199. Please deliver 160 units of product P_13. Regards, Store S_6.
Order from Day_199. Please deliver 152 units of product P_14. Regards, Store S_6.
Order from Day_199. Please deliver 298 units of product P_15. Regards, Store S_6.
Order from Day_199. Please deliver 331 units of product P_16. Regards, Store S_6.
Order from Day_199. Please deliver 199 units of product P_17. Regards, Store S_6.
Order from Day_199. Please deliver 233 units of product P_19. Regards, Store S_6.
Order from Day_199. Please deliver 209 units of product P_20. Regards, Store S_6.
Order from Day_199. Please deliver 304 units of product P_21. Regards, Store S_6.
Order from Day_199. Please deliver 289 units of product P_22. Regards, Store S_6.
Order from Day_199. Please deliver 178 units of product P_23. Regards, Store S_6.
Order from Day_199. Please deliver 348 units of product P_24. Regards, Store S_6.
Order from Day_199. Please deliver 282 units of product P_25. Regards, Store S_6.
Order from Day_199. Please deliver 218 units of product P_26. Regards, Store S_6.
Order from Day_199. Please deliver 193 units of product P_27. Regards, Store S_6.
