RECEIVER: S_8 | ORDER_PRODUCT: P_1 | ORDER_QTY: 187
RECEIVER: S_8 | ORDER_PRODUCT: P_2 | ORDER_QTY: 214
RECEIVER: S_8 | ORDER_PRODUCT: P_3 | ORDER_QTY: 388
RECEIVER: S_8 | ORDER_PRODUCT: P_4 | ORDER_QTY: 239
RECEIVER: S_8 | ORDER_PRODUCT: P_6 | ORDER_QTY: 153
RECEIVER: S_8 | ORDER_PRODUCT: P_7 | ORDER_QTY: 287
RECEIVER: S_8 | ORDER_PRODUCT: P_10 | ORDER_QTY: 228
RECEIVER: S_8 | ORDER_PRODUCT: P_11 | ORDER_QTY: 235
RECEIVER: S_8 | ORDER_PRODUCT: P_12 | ORDER_QTY: 126
RECEIVER: S_8 | ORDER_PRODUCT: P_13 | ORDER_QTY: 200
RECEIVER: S_8 | ORDER_PRODUCT: P_15 | ORDER_QTY: 313
RECEIVER: S_8 | ORDER_PRODUCT: P_16 | ORDER_QTY: 328
RECEIVER: S_8 | ORDER_PRODUCT: P_19 | ORDER_QTY: 239
RECEIVER: S_8 | ORDER_PRODUCT: P_21 | ORDER_QTY: 477
RECEIVER: S_8 | ORDER_PRODUCT: P_22 | ORDER_QTY: 542
RECEIVER: S_8 | ORDER_PRODUCT: P_23 | ORDER_QTY: 126
RECEIVER: S_8 | ORDER_PRODUCT: P_24 | ORDER_QTY: 362
RECEIVER: S_8 | ORDER_PRODUCT: P_25 | ORDER_QTY: 354
RECEIVER: S_8 | ORDER_PRODUCT: P_26 | ORDER_QTY: 333
RECEIVER: S_8 | ORDER_PRODUCT: P_28 | ORDER_QTY: 160
RECEIVER: S_8 | ORDER_PRODUCT: P_29 | ORDER_QTY: 202
RECEIVER: S_8 | ORDER_PRODUCT: P_30 | ORDER_QTY: 242
