RECEIVER: S_10 | ORDER_PRODUCT: P_1 | ORDER_QTY: 235
RECEIVER: S_10 | ORDER_PRODUCT: P_2 | ORDER_QTY: 244
RECEIVER: S_10 | ORDER_PRODUCT: P_3 | ORDER_QTY: 334
RECEIVER: S_10 | ORDER_PRODUCT: P_4 | ORDER_QTY: 193
RECEIVER: S_10 | ORDER_PRODUCT: P_6 | ORDER_QTY: 160
RECEIVER: S_10 | ORDER_PRODUCT: P_7 | ORDER_QTY: 316
RECEIVER: S_10 | ORDER_PRODUCT: P_8 | ORDER_QTY: 195
RECEIVER: S_10 | ORDER_PRODUCT: P_10 | ORDER_QTY: 312
RECEIVER: S_10 | ORDER_PRODUCT: P_11 | ORDER_QTY: 263
RECEIVER: S_10 | ORDER_PRODUCT: P_13 | ORDER_QTY: 208
RECEIVER: S_10 | ORDER_PRODUCT: P_15 | ORDER_QTY: 317
RECEIVER: S_10 | ORDER_PRODUCT: P_16 | ORDER_QTY: 317
RECEIVER: S_10 | ORDER_PRODUCT: P_19 | ORDER_QTY: 261
RECEIVER: S_10 | ORDER_PRODUCT: P_21 | ORDER_QTY: 388
RECEIVER: S_10 | ORDER_PRODUCT: P_22 | ORDER_QTY: 363
RECEIVER: S_10 | ORDER_PRODUCT: P_24 | ORDER_QTY: 270
RECEIVER: S_10 | ORDER_PRODUCT: P_25 | ORDER_QTY: 324
RECEIVER: S_10 | ORDER_PRODUCT: P_28 | ORDER_QTY: 206
RECEIVER: S_10 | ORDER_PRODUCT: P_29 | ORDER_QTY: 332
RECEIVER: S_10 | ORDER_PRODUCT: P_30 | ORDER_QTY: 249
