Order from Day_116. Please deliver 350 units of product P_1. Regards, Store S_4.
Order from Day_116. Please deliver 310 units of product P_2. Regards, Store S_4.
Order from Day_116. Please deliver 400 units of product P_3. Regards, Store S_4.
Order from Day_116. Please deliver 371 units of product P_6. Regards, Store S_4.
Order from Day_116. Please deliver 535 units of product P_7. Regards, Store S_4.
Order from Day_116. Please deliver 519 units of product P_8. Regards, Store S_4.
Order from Day_116. Please deliver 490 units of product P_9. Regards, Store S_4.
Order from Day_116. Please deliver 383 units of product P_10. Regards, Store S_4.
Order from Day_116. Please deliver 343 units of product P_11. Regards, Store S_4.
Order from Day_116. Please deliver 419 units of product P_12. Regards, Store S_4.
Order from Day_116. Please deliver 288 units of product P_14. Regards, Store S_4.
Order from Day_116. Please deliver 438 units of product P_15. Regards, Store S_4.
Order from Day_116. Please deliver 410 units of product P_16. Regards, Store S_4.
Order from Day_116. Please deliver 562 units of product P_19. Regards, Store S_4.
Order from Day_116. Please deliver 472 units of product P_21. Regards, Store S_4.
Order from Day_116. Please deliver 449 units of product P_22. Regards, Store S_4.
Order from Day_116. Please deliver 316 units of product P_23. Regards, Store S_4.
Order from Day_116. Please deliver 297 units of product P_24. Regards, Store S_4.
Order from Day_116. Please deliver 340 units of product P_25. Regards, Store S_4.
Order from Day_116. Please deliver 434 units of product P_28. Regards, Store S_4.
Order from Day_116. Please deliver 438 units of product P_29. Regards, Store S_4.
