Order from Day_243. Please deliver 278 units of product P_3. Regards, Store S_2.
Order from Day_243. Please deliver 109 units of product P_6. Regards, Store S_2.
Order from Day_243. Please deliver 129 units of product P_8. Regards, Store S_2.
Order from Day_243. Please deliver 129 units of product P_9. Regards, Store S_2.
Order from Day_243. Please deliver 159 units of product P_10. Regards, Store S_2.
Order from Day_243. Please deliver 133 units of product P_12. Regards, Store S_2.
Order from Day_243. Please deliver 189 units of product P_13. Regards, Store S_2.
Order from Day_243. Please deliver 165 units of product P_15. Regards, Store S_2.
Order from Day_243. Please deliver 115 units of product P_18. Regards, Store S_2.
Order from Day_243. Please deliver 134 units of product P_20. Regards, Store S_2.
Order from Day_243. Please deliver 242 units of product P_22. Regards, Store S_2.
Order from Day_243. Please deliver 172 units of product P_24. Regards, Store S_2.
Order from Day_243. Please deliver 309 units of product P_25. Regards, Store S_2.
Order from Day_243. Please deliver 143 units of product P_27. Regards, Store S_2.
Order from Day_243. Please deliver 188 units of product P_28. Regards, Store S_2.
Order from Day_243. Please deliver 197 units of product P_29. Regards, Store S_2.
Order from Day_243. Please deliver 328 units of product P_30. Regards, Store S_2.
