RECEIVER: S_8 | ORDER_PRODUCT: P_1 | ORDER_QTY: 143
RECEIVER: S_8 | ORDER_PRODUCT: P_2 | ORDER_QTY: 197
RECEIVER: S_8 | ORDER_PRODUCT: P_3 | ORDER_QTY: 311
RECEIVER: S_8 | ORDER_PRODUCT: P_6 | ORDER_QTY: 341
RECEIVER: S_8 | ORDER_PRODUCT: P_7 | ORDER_QTY: 281
RECEIVER: S_8 | ORDER_PRODUCT: P_8 | ORDER_QTY: 260
RECEIVER: S_8 | ORDER_PRODUCT: P_10 | ORDER_QTY: 219
RECEIVER: S_8 | ORDER_PRODUCT: P_11 | ORDER_QTY: 205
RECEIVER: S_8 | ORDER_PRODUCT: P_12 | ORDER_QTY: 233
RECEIVER: S_8 | ORDER_PRODUCT: P_13 | ORDER_QTY: 150
RECEIVER: S_8 | ORDER_PRODUCT: P_15 | ORDER_QTY: 369
RECEIVER: S_8 | ORDER_PRODUCT: P_16 | ORDER_QTY: 270
RECEIVER: S_8 | ORDER_PRODUCT: P_19 | ORDER_QTY: 276
RECEIVER: S_8 | ORDER_PRODUCT: P_21 | ORDER_QTY: 343
RECEIVER: S_8 | ORDER_PRODUCT: P_22 | ORDER_QTY: 459
RECEIVER: S_8 | ORDER_PRODUCT: P_23 | ORDER_QTY: 182
RECEIVER: S_8 | ORDER_PRODUCT: P_24 | ORDER_QTY: 321
RECEIVER: S_8 | ORDER_PRODUCT: P_25 | ORDER_QTY: 348
RECEIVER: S_8 | ORDER_PRODUCT: P_28 | ORDER_QTY: 214
RECEIVER: S_8 | ORDER_PRODUCT: P_29 | ORDER_QTY: 288
RECEIVER: S_8 | ORDER_PRODUCT: P_30 | ORDER_QTY: 201
