Order from Day_92. Please deliver 239 units of product P_1. Regards, Store S_2.
Order from Day_92. Please deliver 287 units of product P_2. Regards, Store S_2.
Order from Day_92. Please deliver 354 units of product P_3. Regards, Store S_2.
Order from Day_92. Please deliver 292 units of product P_6. Regards, Store S_2.
Order from Day_92. Please deliver 268 units of product P_7. Regards, Store S_2.
Order from Day_92. Please deliver 259 units of product P_8. Regards, Store S_2.
Order from Day_92. Please deliver 218 units of product P_10. Regards, Store S_2.
Order from Day_92. Please deliver 286 units of product P_12. Regards, Store S_2.
Order from Day_92. Please deliver 225 units of product P_13. Regards, Store S_2.
Order from Day_92. Please deliver 219 units of product P_15. Regards, Store S_2.
Order from Day_92. Please deliver 317 units of product P_16. Regards, Store S_2.
Order from Day_92. Please deliver 263 units of product P_19. Regards, Store S_2.
Order from Day_92. Please deliver 373 units of product P_21. Regards, Store S_2.
Order from Day_92. Please deliver 317 units of product P_22. Regards, Store S_2.
Order from Day_92. Please deliver 216 units of product P_23. Regards, Store S_2.
Order from Day_92. Please deliver 264 units of product P_24. Regards, Store S_2.
Order from Day_92. Please deliver 376 units of product P_25. Regards, Store S_2.
Order from Day_92. Please deliver 210 units of product P_26. Regards, Store S_2.
Order from Day_92. Please deliver 440 units of product P_30. Regards, Store S_2.
