Order from Day_87. Please deliver 225 units of product P_1. Regards, Store S_2.
Order from Day_87. Please deliver 310 units of product P_2. Regards, Store S_2.
Order from Day_87. Please deliver 358 units of product P_3. Regards, Store S_2.
Order from Day_87. Please deliver 204 units of product P_5. Regards, Store S_2.
Order from Day_87. Please deliver 324 units of product P_6. Regards, Store S_2.
Order from Day_87. Please deliver 258 units of product P_7. Regards, Store S_2.
Order from Day_87. Please deliver 282 units of product P_8. Regards, Store S_2.
Order from Day_87. Please deliver 217 units of product P_9. Regards, Store S_2.
Order from Day_87. Please deliver 226 units of product P_10. Regards, Store S_2.
Order from Day_87. Please deliver 257 units of product P_11. Regards, Store S_2.
Order from Day_87. Please deliver 311 units of product P_12. Regards, Store S_2.
Order from Day_87. Please deliver 302 units of product P_13. Regards, Store S_2.
Order from Day_87. Please deliver 251 units of product P_15. Regards, Store S_2.
Order from Day_87. Please deliver 345 units of product P_16. Regards, Store S_2.
Order from Day_87. Please deliver 168 units of product P_17. Regards, Store S_2.
Order from Day_87. Please deliver 129 units of product P_18. Regards, Store S_2.
Order from Day_87. Please deliver 276 units of product P_19. Regards, Store S_2.
Order from Day_87. Please deliver 154 units of product P_20. Regards, Store S_2.
Order from Day_87. Please deliver 371 units of product P_21. Regards, Store S_2.
Order from Day_87. Please deliver 318 units of product P_22. Regards, Store S_2.
Order from Day_87. Please deliver 142 units of product P_23. Regards, Store S_2.
Order from Day_87. Please deliver 339 units of product P_24. Regards, Store S_2.
Order from Day_87. Please deliver 384 units of product P_25. Regards, Store S_2.
Order from Day_87. Please deliver 164 units of product P_27. Regards, Store S_2.
Order from Day_87. Please deliver 133 units of product P_28. Regards, Store S_2.
Order from Day_87. Please deliver 231 units of product P_29. Regards, Store S_2.
Order from Day_87. Please deliver 470 units of product P_30. Regards, Store S_2.
