RECEIVER: S_10 | ORDER_PRODUCT: P_1 | ORDER_QTY: 358
RECEIVER: S_10 | ORDER_PRODUCT: P_2 | ORDER_QTY: 304
RECEIVER: S_10 | ORDER_PRODUCT: P_3 | ORDER_QTY: 400
RECEIVER: S_10 | ORDER_PRODUCT: P_4 | ORDER_QTY: 165
RECEIVER: S_10 | ORDER_PRODUCT: P_5 | ORDER_QTY: 322
RECEIVER: S_10 | ORDER_PRODUCT: P_6 | ORDER_QTY: 366
RECEIVER: S_10 | ORDER_PRODUCT: P_7 | ORDER_QTY: 444
RECEIVER: S_10 | ORDER_PRODUCT: P_8 | ORDER_QTY: 409
RECEIVER: S_10 | ORDER_PRODUCT: P_10 | ORDER_QTY: 453
RECEIVER: S_10 | ORDER_PRODUCT: P_11 | ORDER_QTY: 438
RECEIVER: S_10 | ORDER_PRODUCT: P_12 | ORDER_QTY: 364
RECEIVER: S_10 | ORDER_PRODUCT: P_13 | ORDER_QTY: 244
RECEIVER: S_10 | ORDER_PRODUCT: P_14 | ORDER_QTY: 199
RECEIVER: S_10 | ORDER_PRODUCT: P_15 | ORDER_QTY: 399
RECEIVER: S_10 | ORDER_PRODUCT: P_16 | ORDER_QTY: 397
RECEIVER: S_10 | ORDER_PRODUCT: P_18 | ORDER_QTY: 156
RECEIVER: S_10 | ORDER_PRODUCT: P_19 | ORDER_QTY: 377
RECEIVER: S_10 | ORDER_PRODUCT: P_20 | ORDER_QTY: 391
RECEIVER: S_10 | ORDER_PRODUCT: P_21 | ORDER_QTY: 420
RECEIVER: S_10 | ORDER_PRODUCT: P_22 | ORDER_QTY: 437
RECEIVER: S_10 | ORDER_PRODUCT: P_23 | ORDER_QTY: 248
RECEIVER: S_10 | ORDER_PRODUCT: P_24 | ORDER_QTY: 369
RECEIVER: S_10 | ORDER_PRODUCT: P_25 | ORDER_QTY: 364
RECEIVER: S_10 | ORDER_PRODUCT: P_26 | ORDER_QTY: 330
RECEIVER: S_10 | ORDER_PRODUCT: P_27 | ORDER_QTY: 217
RECEIVER: S_10 | ORDER_PRODUCT: P_29 | ORDER_QTY: 397
RECEIVER: S_10 | ORDER_PRODUCT: P_30 | ORDER_QTY: 351
