Order from Day_218. Please deliver 243 units of product P_1. Regards, Store S_9.
Order from Day_218. Please deliver 495 units of product P_2. Regards, Store S_9.
Order from Day_218. Please deliver 192 units of product P_3. Regards, Store S_9.
Order from Day_218. Please deliver 326 units of product P_6. Regards, Store S_9.
Order from Day_218. Please deliver 300 units of product P_7. Regards, Store S_9.
Order from Day_218. Please deliver 295 units of product P_8. Regards, Store S_9.
Order from Day_218. Please deliver 328 units of product P_10. Regards, Store S_9.
Order from Day_218. Please deliver 265 units of product P_11. Regards, Store S_9.
Order from Day_218. Please deliver 279 units of product P_12. Regards, Store S_9.
Order from Day_218. Please deliver 243 units of product P_13. Regards, Store S_9.
Order from Day_218. Please deliver 364 units of product P_15. Regards, Store S_9.
Order from Day_218. Please deliver 385 units of product P_16. Regards, Store S_9.
Order from Day_218. Please deliver 204 units of product P_17. Regards, Store S_9.
Order from Day_218. Please deliver 339 units of product P_19. Regards, Store S_9.
Order from Day_218. Please deliver 420 units of product P_21. Regards, Store S_9.
Order from Day_218. Please deliver 400 units of product P_22. Regards, Store S_9.
Order from Day_218. Please deliver 350 units of product P_24. Regards, Store S_9.
Order from Day_218. Please deliver 417 units of product P_25. Regards, Store S_9.
Order from Day_218. Please deliver 356 units of product P_30. Regards, Store S_9.
