Order from Day_139. Please deliver 174 units of product P_1. Regards, Store S_2.
Order from Day_139. Please deliver 231 units of product P_2. Regards, Store S_2.
Order from Day_139. Please deliver 309 units of product P_3. Regards, Store S_2.
Order from Day_139. Please deliver 90 units of product P_6. Regards, Store S_2.
Order from Day_139. Please deliver 162 units of product P_8. Regards, Store S_2.
Order from Day_139. Please deliver 161 units of product P_9. Regards, Store S_2.
Order from Day_139. Please deliver 156 units of product P_10. Regards, Store S_2.
Order from Day_139. Please deliver 203 units of product P_11. Regards, Store S_2.
Order from Day_139. Please deliver 109 units of product P_12. Regards, Store S_2.
Order from Day_139. Please deliver 205 units of product P_13. Regards, Store S_2.
Order from Day_139. Please deliver 171 units of product P_15. Regards, Store S_2.
Order from Day_139. Please deliver 270 units of product P_16. Regards, Store S_2.
Order from Day_139. Please deliver 203 units of product P_19. Regards, Store S_2.
Order from Day_139. Please deliver 317 units of product P_21. Regards, Store S_2.
Order from Day_139. Please deliver 268 units of product P_22. Regards, Store S_2.
Order from Day_139. Please deliver 208 units of product P_24. Regards, Store S_2.
Order from Day_139. Please deliver 369 units of product P_25. Regards, Store S_2.
Order from Day_139. Please deliver 175 units of product P_28. Regards, Store S_2.
Order from Day_139. Please deliver 293 units of product P_30. Regards, Store S_2.
