Order from Day_145. Please deliver 235 units of product P_1. Regards, Store S_6.
Order from Day_145. Please deliver 305 units of product P_2. Regards, Store S_6.
Order from Day_145. Please deliver 356 units of product P_3. Regards, Store S_6.
Order from Day_145. Please deliver 317 units of product P_5. Regards, Store S_6.
Order from Day_145. Please deliver 245 units of product P_6. Regards, Store S_6.
Order from Day_145. Please deliver 388 units of product P_7. Regards, Store S_6.
Order from Day_145. Please deliver 277 units of product P_8. Regards, Store S_6.
Order from Day_145. Please deliver 203 units of product P_9. Regards, Store S_6.
Order from Day_145. Please deliver 270 units of product P_10. Regards, Store S_6.
Order from Day_145. Please deliver 363 units of product P_11. Regards, Store S_6.
Order from Day_145. Please deliver 220 units of product P_12. Regards, Store S_6.
Order from Day_145. Please deliver 217 units of product P_13. Regards, Store S_6.
Order from Day_145. Please deliver 338 units of product P_15. Regards, Store S_6.
Order from Day_145. Please deliver 446 units of product P_16. Regards, Store S_6.
Order from Day_145. Please deliver 303 units of product P_19. Regards, Store S_6.
Order from Day_145. Please deliver 313 units of product P_20. Regards, Store S_6.
Order from Day_145. Please deliver 441 units of product P_21. Regards, Store S_6.
Order from Day_145. Please deliver 362 units of product P_22. Regards, Store S_6.
Order from Day_145. Please deliver 287 units of product P_23. Regards, Store S_6.
Order from Day_145. Please deliver 489 units of product P_24. Regards, Store S_6.
Order from Day_145. Please deliver 358 units of product P_25. Regards, Store S_6.
Order from Day_145. Please deliver 311 units of product P_26. Regards, Store S_6.
Order from Day_145. Please deliver 247 units of product P_27. Regards, Store S_6.
Order from Day_145. Please deliver 337 units of product P_28. Regards, Store S_6.
Order from Day_145. Please deliver 192 units of product P_29. Regards, Store S_6.
Order from Day_145. Please deliver 442 units of product P_30. Regards, Store S_6.
