RECEIVER: S_5 | ORDER_PRODUCT: P_1 | ORDER_QTY: 274
RECEIVER: S_5 | ORDER_PRODUCT: P_2 | ORDER_QTY: 270
RECEIVER: S_5 | ORDER_PRODUCT: P_3 | ORDER_QTY: 348
RECEIVER: S_5 | ORDER_PRODUCT: P_5 | ORDER_QTY: 247
RECEIVER: S_5 | ORDER_PRODUCT: P_6 | ORDER_QTY: 320
RECEIVER: S_5 | ORDER_PRODUCT: P_7 | ORDER_QTY: 151
RECEIVER: S_5 | ORDER_PRODUCT: P_8 | ORDER_QTY: 282
RECEIVER: S_5 | ORDER_PRODUCT: P_9 | ORDER_QTY: 199
RECEIVER: S_5 | ORDER_PRODUCT: P_10 | ORDER_QTY: 124
RECEIVER: S_5 | ORDER_PRODUCT: P_11 | ORDER_QTY: 223
RECEIVER: S_5 | ORDER_PRODUCT: P_12 | ORDER_QTY: 362
RECEIVER: S_5 | ORDER_PRODUCT: P_13 | ORDER_QTY: 194
RECEIVER: S_5 | ORDER_PRODUCT: P_14 | ORDER_QTY: 165
RECEIVER: S_5 | ORDER_PRODUCT: P_15 | ORDER_QTY: 328
RECEIVER: S_5 | ORDER_PRODUCT: P_16 | ORDER_QTY: 264
RECEIVER: S_5 | ORDER_PRODUCT: P_17 | ORDER_QTY: 165
RECEIVER: S_5 | ORDER_PRODUCT: P_18 | ORDER_QTY: 115
RECEIVER: S_5 | ORDER_PRODUCT: P_19 | ORDER_QTY: 253
RECEIVER: S_5 | ORDER_PRODUCT: P_20 | ORDER_QTY: 180
RECEIVER: S_5 | ORDER_PRODUCT: P_21 | ORDER_QTY: 451
RECEIVER: S_5 | ORDER_PRODUCT: P_22 | ORDER_QTY: 379
RECEIVER: S_5 | ORDER_PRODUCT: P_23 | ORDER_QTY: 220
RECEIVER: S_5 | ORDER_PRODUCT: P_24 | ORDER_QTY: 333
RECEIVER: S_5 | ORDER_PRODUCT: P_25 | ORDER_QTY: 357
RECEIVER: S_5 | ORDER_PRODUCT: P_26 | ORDER_QTY: 292
RECEIVER: S_5 | ORDER_PRODUCT: P_27 | ORDER_QTY: 203
RECEIVER: S_5 | ORDER_PRODUCT: P_28 | ORDER_QTY: 270
RECEIVER: S_5 | ORDER_PRODUCT: P_29 | ORDER_QTY: 232
RECEIVER: S_5 | ORDER_PRODUCT: P_30 | ORDER_QTY: 302
