SUPPLIER: PR_10 | DAY: 246
PRODUCT: P_1 | DELIVERED_QTY: 36
PRODUCT: P_4 | DELIVERED_QTY: 41
PRODUCT: P_14 | DELIVERED_QTY: 42
PRODUCT: P_15 | DELIVERED_QTY: 49
PRODUCT: P_16 | DELIVERED_QTY: 33
PRODUCT: P_17 | DELIVERED_QTY: 40
PRODUCT: P_18 | DELIVERED_QTY: 31
PRODUCT: P_19 | DELIVERED_QTY: 31
PRODUCT: P_24 | DELIVERED_QTY: 62
PRODUCT: P_25 | DELIVERED_QTY: 52
PRODUCT: P_26 | DELIVERED_QTY: 39
PRODUCT: P_27 | DELIVERED_QTY: 38
PRODUCT: P_28 | DELIVERED_QTY: 31
PRODUCT: P_29 | DELIVERED_QTY: 50
