SUPPLIER: PR_10 | DAY: 214
PRODUCT: P_1 | DELIVERED_QTY: 49
PRODUCT: P_4 | DELIVERED_QTY: 76
PRODUCT: P_14 | DELIVERED_QTY: 59
PRODUCT: P_15 | DELIVERED_QTY: 48
PRODUCT: P_16 | DELIVERED_QTY: 52
PRODUCT: P_17 | DELIVERED_QTY: 33
PRODUCT: P_18 | DELIVERED_QTY: 31
PRODUCT: P_19 | DELIVERED_QTY: 34
PRODUCT: P_24 | DELIVERED_QTY: 42
PRODUCT: P_25 | DELIVERED_QTY: 60
PRODUCT: P_26 | DELIVERED_QTY: 34
PRODUCT: P_27 | DELIVERED_QTY: 18
PRODUCT: P_28 | DELIVERED_QTY: 34
PRODUCT: P_29 | DELIVERED_QTY: 45
