RECEIVER: S_5 | ORDER_PRODUCT: P_1 | ORDER_QTY: 298
RECEIVER: S_5 | ORDER_PRODUCT: P_2 | ORDER_QTY: 255
RECEIVER: S_5 | ORDER_PRODUCT: P_3 | ORDER_QTY: 343
RECEIVER: S_5 | ORDER_PRODUCT: P_5 | ORDER_QTY: 188
RECEIVER: S_5 | ORDER_PRODUCT: P_6 | ORDER_QTY: 334
RECEIVER: S_5 | ORDER_PRODUCT: P_7 | ORDER_QTY: 145
RECEIVER: S_5 | ORDER_PRODUCT: P_8 | ORDER_QTY: 274
RECEIVER: S_5 | ORDER_PRODUCT: P_10 | ORDER_QTY: 134
RECEIVER: S_5 | ORDER_PRODUCT: P_11 | ORDER_QTY: 256
RECEIVER: S_5 | ORDER_PRODUCT: P_12 | ORDER_QTY: 332
RECEIVER: S_5 | ORDER_PRODUCT: P_15 | ORDER_QTY: 359
RECEIVER: S_5 | ORDER_PRODUCT: P_16 | ORDER_QTY: 270
RECEIVER: S_5 | ORDER_PRODUCT: P_17 | ORDER_QTY: 182
RECEIVER: S_5 | ORDER_PRODUCT: P_19 | ORDER_QTY: 258
RECEIVER: S_5 | ORDER_PRODUCT: P_21 | ORDER_QTY: 437
RECEIVER: S_5 | ORDER_PRODUCT: P_22 | ORDER_QTY: 393
RECEIVER: S_5 | ORDER_PRODUCT: P_23 | ORDER_QTY: 273
RECEIVER: S_5 | ORDER_PRODUCT: P_24 | ORDER_QTY: 327
RECEIVER: S_5 | ORDER_PRODUCT: P_25 | ORDER_QTY: 369
RECEIVER: S_5 | ORDER_PRODUCT: P_26 | ORDER_QTY: 313
RECEIVER: S_5 | ORDER_PRODUCT: P_27 | ORDER_QTY: 229
RECEIVER: S_5 | ORDER_PRODUCT: P_29 | ORDER_QTY: 274
RECEIVER: S_5 | ORDER_PRODUCT: P_30 | ORDER_QTY: 263
