Order from Day_305. Please deliver 276 units of product P_1. Regards, Store S_6.
Order from Day_305. Please deliver 258 units of product P_2. Regards, Store S_6.
Order from Day_305. Please deliver 358 units of product P_3. Regards, Store S_6.
Order from Day_305. Please deliver 281 units of product P_6. Regards, Store S_6.
Order from Day_305. Please deliver 382 units of product P_7. Regards, Store S_6.
Order from Day_305. Please deliver 282 units of product P_8. Regards, Store S_6.
Order from Day_305. Please deliver 291 units of product P_10. Regards, Store S_6.
Order from Day_305. Please deliver 373 units of product P_11. Regards, Store S_6.
Order from Day_305. Please deliver 240 units of product P_12. Regards, Store S_6.
Order from Day_305. Please deliver 347 units of product P_15. Regards, Store S_6.
Order from Day_305. Please deliver 436 units of product P_16. Regards, Store S_6.
Order from Day_305. Please deliver 184 units of product P_18. Regards, Store S_6.
Order from Day_305. Please deliver 344 units of product P_19. Regards, Store S_6.
Order from Day_305. Please deliver 437 units of product P_21. Regards, Store S_6.
Order from Day_305. Please deliver 364 units of product P_22. Regards, Store S_6.
Order from Day_305. Please deliver 426 units of product P_23. Regards, Store S_6.
Order from Day_305. Please deliver 462 units of product P_24. Regards, Store S_6.
Order from Day_305. Please deliver 343 units of product P_25. Regards, Store S_6.
Order from Day_305. Please deliver 240 units of product P_26. Regards, Store S_6.
