Order from Day_7. Please deliver 291 units of product P_1. Regards, Store S_2.
Order from Day_7. Please deliver 407 units of product P_2. Regards, Store S_2.
Order from Day_7. Please deliver 436 units of product P_3. Regards, Store S_2.
Order from Day_7. Please deliver 400 units of product P_5. Regards, Store S_2.
Order from Day_7. Please deliver 369 units of product P_6. Regards, Store S_2.
Order from Day_7. Please deliver 277 units of product P_7. Regards, Store S_2.
Order from Day_7. Please deliver 350 units of product P_8. Regards, Store S_2.
Order from Day_7. Please deliver 229 units of product P_9. Regards, Store S_2.
Order from Day_7. Please deliver 305 units of product P_10. Regards, Store S_2.
Order from Day_7. Please deliver 375 units of product P_11. Regards, Store S_2.
Order from Day_7. Please deliver 366 units of product P_12. Regards, Store S_2.
Order from Day_7. Please deliver 317 units of product P_13. Regards, Store S_2.
Order from Day_7. Please deliver 307 units of product P_14. Regards, Store S_2.
Order from Day_7. Please deliver 322 units of product P_15. Regards, Store S_2.
Order from Day_7. Please deliver 332 units of product P_16. Regards, Store S_2.
Order from Day_7. Please deliver 309 units of product P_17. Regards, Store S_2.
Order from Day_7. Please deliver 296 units of product P_18. Regards, Store S_2.
Order from Day_7. Please deliver 273 units of product P_19. Regards, Store S_2.
Order from Day_7. Please deliver 242 units of product P_20. Regards, Store S_2.
Order from Day_7. Please deliver 409 units of product P_21. Regards, Store S_2.
Order from Day_7. Please deliver 386 units of product P_22. Regards, Store S_2.
Order from Day_7. Please deliver 279 units of product P_23. Regards, Store S_2.
Order from Day_7. Please deliver 303 units of product P_24. Regards, Store S_2.
Order from Day_7. Please deliver 396 units of product P_25. Regards, Store S_2.
Order from Day_7. Please deliver 339 units of product P_26. Regards, Store S_2.
Order from Day_7. Please deliver 251 units of product P_27. Regards, Store S_2.
Order from Day_7. Please deliver 272 units of product P_28. Regards, Store S_2.
Order from Day_7. Please deliver 288 units of product P_29. Regards, Store S_2.
Order from Day_7. Please deliver 557 units of product P_30. Regards, Store S_2.
