Order from Day_140. Please deliver 179 units of product P_1. Regards, Store S_2.
Order from Day_140. Please deliver 230 units of product P_2. Regards, Store S_2.
Order from Day_140. Please deliver 316 units of product P_3. Regards, Store S_2.
Order from Day_140. Please deliver 164 units of product P_5. Regards, Store S_2.
Order from Day_140. Please deliver 102 units of product P_6. Regards, Store S_2.
Order from Day_140. Please deliver 169 units of product P_8. Regards, Store S_2.
Order from Day_140. Please deliver 165 units of product P_9. Regards, Store S_2.
Order from Day_140. Please deliver 153 units of product P_10. Regards, Store S_2.
Order from Day_140. Please deliver 201 units of product P_11. Regards, Store S_2.
Order from Day_140. Please deliver 113 units of product P_12. Regards, Store S_2.
Order from Day_140. Please deliver 199 units of product P_13. Regards, Store S_2.
Order from Day_140. Please deliver 174 units of product P_15. Regards, Store S_2.
Order from Day_140. Please deliver 275 units of product P_16. Regards, Store S_2.
Order from Day_140. Please deliver 201 units of product P_19. Regards, Store S_2.
Order from Day_140. Please deliver 318 units of product P_21. Regards, Store S_2.
Order from Day_140. Please deliver 264 units of product P_22. Regards, Store S_2.
Order from Day_140. Please deliver 144 units of product P_23. Regards, Store S_2.
Order from Day_140. Please deliver 220 units of product P_24. Regards, Store S_2.
Order from Day_140. Please deliver 369 units of product P_25. Regards, Store S_2.
Order from Day_140. Please deliver 205 units of product P_27. Regards, Store S_2.
Order from Day_140. Please deliver 167 units of product P_28. Regards, Store S_2.
Order from Day_140. Please deliver 326 units of product P_30. Regards, Store S_2.
