Order from Day_290. Please deliver 187 units of product P_1. Regards, Store S_2.
Order from Day_290. Please deliver 304 units of product P_2. Regards, Store S_2.
Order from Day_290. Please deliver 406 units of product P_3. Regards, Store S_2.
Order from Day_290. Please deliver 300 units of product P_5. Regards, Store S_2.
Order from Day_290. Please deliver 353 units of product P_6. Regards, Store S_2.
Order from Day_290. Please deliver 283 units of product P_7. Regards, Store S_2.
Order from Day_290. Please deliver 315 units of product P_8. Regards, Store S_2.
Order from Day_290. Please deliver 246 units of product P_9. Regards, Store S_2.
Order from Day_290. Please deliver 313 units of product P_10. Regards, Store S_2.
Order from Day_290. Please deliver 204 units of product P_11. Regards, Store S_2.
Order from Day_290. Please deliver 331 units of product P_12. Regards, Store S_2.
Order from Day_290. Please deliver 238 units of product P_13. Regards, Store S_2.
Order from Day_290. Please deliver 273 units of product P_15. Regards, Store S_2.
Order from Day_290. Please deliver 362 units of product P_16. Regards, Store S_2.
Order from Day_290. Please deliver 113 units of product P_18. Regards, Store S_2.
Order from Day_290. Please deliver 312 units of product P_19. Regards, Store S_2.
Order from Day_290. Please deliver 227 units of product P_20. Regards, Store S_2.
Order from Day_290. Please deliver 377 units of product P_21. Regards, Store S_2.
Order from Day_290. Please deliver 326 units of product P_22. Regards, Store S_2.
Order from Day_290. Please deliver 363 units of product P_23. Regards, Store S_2.
Order from Day_290. Please deliver 395 units of product P_24. Regards, Store S_2.
Order from Day_290. Please deliver 365 units of product P_25. Regards, Store S_2.
Order from Day_290. Please deliver 330 units of product P_26. Regards, Store S_2.
Order from Day_290. Please deliver 139 units of product P_28. Regards, Store S_2.
Order from Day_290. Please deliver 229 units of product P_29. Regards, Store S_2.
Order from Day_290. Please deliver 398 units of product P_30. Regards, Store S_2.
