Order from Day_335. Please deliver 279 units of product P_1. Regards, Store S_2.
Order from Day_335. Please deliver 293 units of product P_2. Regards, Store S_2.
Order from Day_335. Please deliver 393 units of product P_3. Regards, Store S_2.
Order from Day_335. Please deliver 177 units of product P_5. Regards, Store S_2.
Order from Day_335. Please deliver 321 units of product P_6. Regards, Store S_2.
Order from Day_335. Please deliver 310 units of product P_8. Regards, Store S_2.
Order from Day_335. Please deliver 301 units of product P_10. Regards, Store S_2.
Order from Day_335. Please deliver 288 units of product P_12. Regards, Store S_2.
Order from Day_335. Please deliver 175 units of product P_14. Regards, Store S_2.
Order from Day_335. Please deliver 255 units of product P_15. Regards, Store S_2.
Order from Day_335. Please deliver 128 units of product P_17. Regards, Store S_2.
Order from Day_335. Please deliver 302 units of product P_19. Regards, Store S_2.
Order from Day_335. Please deliver 352 units of product P_21. Regards, Store S_2.
Order from Day_335. Please deliver 315 units of product P_22. Regards, Store S_2.
Order from Day_335. Please deliver 299 units of product P_23. Regards, Store S_2.
Order from Day_335. Please deliver 320 units of product P_24. Regards, Store S_2.
Order from Day_335. Please deliver 361 units of product P_25. Regards, Store S_2.
Order from Day_335. Please deliver 180 units of product P_27. Regards, Store S_2.
