Order from Day_353. Please deliver 160 units of product P_1. Regards, Store S_2.
Order from Day_353. Please deliver 273 units of product P_2. Regards, Store S_2.
Order from Day_353. Please deliver 389 units of product P_3. Regards, Store S_2.
Order from Day_353. Please deliver 192 units of product P_5. Regards, Store S_2.
Order from Day_353. Please deliver 140 units of product P_6. Regards, Store S_2.
Order from Day_353. Please deliver 227 units of product P_7. Regards, Store S_2.
Order from Day_353. Please deliver 228 units of product P_8. Regards, Store S_2.
Order from Day_353. Please deliver 179 units of product P_10. Regards, Store S_2.
Order from Day_353. Please deliver 220 units of product P_11. Regards, Store S_2.
Order from Day_353. Please deliver 95 units of product P_12. Regards, Store S_2.
Order from Day_353. Please deliver 205 units of product P_13. Regards, Store S_2.
Order from Day_353. Please deliver 265 units of product P_15. Regards, Store S_2.
Order from Day_353. Please deliver 305 units of product P_16. Regards, Store S_2.
Order from Day_353. Please deliver 132 units of product P_18. Regards, Store S_2.
Order from Day_353. Please deliver 254 units of product P_19. Regards, Store S_2.
Order from Day_353. Please deliver 145 units of product P_20. Regards, Store S_2.
Order from Day_353. Please deliver 357 units of product P_21. Regards, Store S_2.
Order from Day_353. Please deliver 327 units of product P_22. Regards, Store S_2.
Order from Day_353. Please deliver 164 units of product P_23. Regards, Store S_2.
Order from Day_353. Please deliver 293 units of product P_24. Regards, Store S_2.
Order from Day_353. Please deliver 388 units of product P_25. Regards, Store S_2.
Order from Day_353. Please deliver 244 units of product P_26. Regards, Store S_2.
Order from Day_353. Please deliver 151 units of product P_27. Regards, Store S_2.
Order from Day_353. Please deliver 155 units of product P_28. Regards, Store S_2.
Order from Day_353. Please deliver 191 units of product P_29. Regards, Store S_2.
Order from Day_353. Please deliver 401 units of product P_30. Regards, Store S_2.
