Order from Day_9. Please deliver 240 units of product P_1. Regards, Store S_9.
Order from Day_9. Please deliver 499 units of product P_2. Regards, Store S_9.
Order from Day_9. Please deliver 273 units of product P_3. Regards, Store S_9.
Order from Day_9. Please deliver 219 units of product P_6. Regards, Store S_9.
Order from Day_9. Please deliver 376 units of product P_7. Regards, Store S_9.
Order from Day_9. Please deliver 239 units of product P_8. Regards, Store S_9.
Order from Day_9. Please deliver 267 units of product P_9. Regards, Store S_9.
Order from Day_9. Please deliver 266 units of product P_10. Regards, Store S_9.
Order from Day_9. Please deliver 329 units of product P_11. Regards, Store S_9.
Order from Day_9. Please deliver 153 units of product P_12. Regards, Store S_9.
Order from Day_9. Please deliver 314 units of product P_13. Regards, Store S_9.
Order from Day_9. Please deliver 364 units of product P_15. Regards, Store S_9.
Order from Day_9. Please deliver 321 units of product P_16. Regards, Store S_9.
Order from Day_9. Please deliver 410 units of product P_19. Regards, Store S_9.
Order from Day_9. Please deliver 317 units of product P_20. Regards, Store S_9.
Order from Day_9. Please deliver 570 units of product P_21. Regards, Store S_9.
Order from Day_9. Please deliver 536 units of product P_22. Regards, Store S_9.
Order from Day_9. Please deliver 345 units of product P_23. Regards, Store S_9.
Order from Day_9. Please deliver 373 units of product P_24. Regards, Store S_9.
Order from Day_9. Please deliver 375 units of product P_25. Regards, Store S_9.
Order from Day_9. Please deliver 398 units of product P_26. Regards, Store S_9.
Order from Day_9. Please deliver 375 units of product P_28. Regards, Store S_9.
Order from Day_9. Please deliver 406 units of product P_29. Regards, Store S_9.
Order from Day_9. Please deliver 477 units of product P_30. Regards, Store S_9.
