Order from Day_108. Please deliver 365 units of product P_1. Regards, Store S_9.
Order from Day_108. Please deliver 447 units of product P_2. Regards, Store S_9.
Order from Day_108. Please deliver 247 units of product P_6. Regards, Store S_9.
Order from Day_108. Please deliver 215 units of product P_8. Regards, Store S_9.
Order from Day_108. Please deliver 289 units of product P_10. Regards, Store S_9.
Order from Day_108. Please deliver 269 units of product P_11. Regards, Store S_9.
Order from Day_108. Please deliver 156 units of product P_12. Regards, Store S_9.
Order from Day_108. Please deliver 358 units of product P_15. Regards, Store S_9.
Order from Day_108. Please deliver 268 units of product P_16. Regards, Store S_9.
Order from Day_108. Please deliver 325 units of product P_19. Regards, Store S_9.
Order from Day_108. Please deliver 535 units of product P_21. Regards, Store S_9.
Order from Day_108. Please deliver 487 units of product P_22. Regards, Store S_9.
Order from Day_108. Please deliver 240 units of product P_23. Regards, Store S_9.
Order from Day_108. Please deliver 340 units of product P_24. Regards, Store S_9.
Order from Day_108. Please deliver 422 units of product P_25. Regards, Store S_9.
Order from Day_108. Please deliver 433 units of product P_30. Regards, Store S_9.
