SUPPLIER: PR_50 | DAY: 90
PRODUCT: P_2 | DELIVERED_QTY: 14
PRODUCT: P_3 | DELIVERED_QTY: 13
PRODUCT: P_4 | DELIVERED_QTY: 12
PRODUCT: P_7 | DELIVERED_QTY: 17
PRODUCT: P_8 | DELIVERED_QTY: 14
PRODUCT: P_9 | DELIVERED_QTY: 12
PRODUCT: P_10 | DELIVERED_QTY: 19
PRODUCT: P_11 | DELIVERED_QTY: 17
PRODUCT: P_12 | DELIVERED_QTY: 10
PRODUCT: P_16 | DELIVERED_QTY: 18
PRODUCT: P_19 | DELIVERED_QTY: 12
PRODUCT: P_20 | DELIVERED_QTY: 13
PRODUCT: P_23 | DELIVERED_QTY: 13
PRODUCT: P_24 | DELIVERED_QTY: 13
PRODUCT: P_27 | DELIVERED_QTY: 11
