SUPPLIER: PR_52 | DAY: 120
PRODUCT: P_2 | DELIVERED_QTY: 10
PRODUCT: P_4 | DELIVERED_QTY: 12
PRODUCT: P_5 | DELIVERED_QTY: 10
PRODUCT: P_8 | DELIVERED_QTY: 12
PRODUCT: P_9 | DELIVERED_QTY: 12
PRODUCT: P_10 | DELIVERED_QTY: 17
PRODUCT: P_11 | DELIVERED_QTY: 10
PRODUCT: P_12 | DELIVERED_QTY: 13
PRODUCT: P_13 | DELIVERED_QTY: 13
PRODUCT: P_15 | DELIVERED_QTY: 17
PRODUCT: P_18 | DELIVERED_QTY: 13
PRODUCT: P_20 | DELIVERED_QTY: 12
PRODUCT: P_22 | DELIVERED_QTY: 14
PRODUCT: P_23 | DELIVERED_QTY: 10
PRODUCT: P_26 | DELIVERED_QTY: 14
