SUPPLIER: PR_32 | DAY: 104
PRODUCT: P_1 | DELIVERED_QTY: 12
PRODUCT: P_2 | DELIVERED_QTY: 23
PRODUCT: P_5 | DELIVERED_QTY: 21
PRODUCT: P_6 | DELIVERED_QTY: 24
PRODUCT: P_7 | DELIVERED_QTY: 12
PRODUCT: P_10 | DELIVERED_QTY: 10
PRODUCT: P_14 | DELIVERED_QTY: 14
PRODUCT: P_15 | DELIVERED_QTY: 12
PRODUCT: P_16 | DELIVERED_QTY: 10
PRODUCT: P_17 | DELIVERED_QTY: 19
PRODUCT: P_19 | DELIVERED_QTY: 17
PRODUCT: P_21 | DELIVERED_QTY: 17
PRODUCT: P_22 | DELIVERED_QTY: 14
PRODUCT: P_23 | DELIVERED_QTY: 10
PRODUCT: P_25 | DELIVERED_QTY: 15
PRODUCT: P_28 | DELIVERED_QTY: 10
PRODUCT: P_30 | DELIVERED_QTY: 11
