SUPPLIER: PR_36 | DAY: 116
PRODUCT: P_2 | DELIVERED_QTY: 23
PRODUCT: P_3 | DELIVERED_QTY: 19
PRODUCT: P_5 | DELIVERED_QTY: 12
PRODUCT: P_8 | DELIVERED_QTY: 19
PRODUCT: P_9 | DELIVERED_QTY: 17
PRODUCT: P_10 | DELIVERED_QTY: 18
PRODUCT: P_11 | DELIVERED_QTY: 14
PRODUCT: P_12 | DELIVERED_QTY: 11
PRODUCT: P_17 | DELIVERED_QTY: 10
PRODUCT: P_19 | DELIVERED_QTY: 14
PRODUCT: P_20 | DELIVERED_QTY: 10
PRODUCT: P_22 | DELIVERED_QTY: 11
PRODUCT: P_23 | DELIVERED_QTY: 19
PRODUCT: P_24 | DELIVERED_QTY: 16
PRODUCT: P_28 | DELIVERED_QTY: 12
PRODUCT: P_29 | DELIVERED_QTY: 14
