SUPPLIER: PR_8 | DAY: 148
PRODUCT: P_4 | DELIVERED_QTY: 20
PRODUCT: P_8 | DELIVERED_QTY: 12
PRODUCT: P_10 | DELIVERED_QTY: 10
PRODUCT: P_12 | DELIVERED_QTY: 11
PRODUCT: P_13 | DELIVERED_QTY: 11
PRODUCT: P_16 | DELIVERED_QTY: 18
PRODUCT: P_17 | DELIVERED_QTY: 18
PRODUCT: P_18 | DELIVERED_QTY: 17
PRODUCT: P_19 | DELIVERED_QTY: 11
PRODUCT: P_20 | DELIVERED_QTY: 22
PRODUCT: P_21 | DELIVERED_QTY: 16
PRODUCT: P_22 | DELIVERED_QTY: 10
PRODUCT: P_25 | DELIVERED_QTY: 13
PRODUCT: P_27 | DELIVERED_QTY: 15
PRODUCT: P_28 | DELIVERED_QTY: 20
PRODUCT: P_29 | DELIVERED_QTY: 19
