SUPPLIER: PR_34 | DAY: 130
PRODUCT: P_1 | DELIVERED_QTY: 14
PRODUCT: P_2 | DELIVERED_QTY: 11
PRODUCT: P_5 | DELIVERED_QTY: 10
PRODUCT: P_6 | DELIVERED_QTY: 17
PRODUCT: P_7 | DELIVERED_QTY: 24
PRODUCT: P_8 | DELIVERED_QTY: 10
PRODUCT: P_9 | DELIVERED_QTY: 11
PRODUCT: P_10 | DELIVERED_QTY: 14
PRODUCT: P_14 | DELIVERED_QTY: 11
PRODUCT: P_15 | DELIVERED_QTY: 13
PRODUCT: P_17 | DELIVERED_QTY: 17
PRODUCT: P_19 | DELIVERED_QTY: 10
PRODUCT: P_20 | DELIVERED_QTY: 16
PRODUCT: P_21 | DELIVERED_QTY: 10
PRODUCT: P_22 | DELIVERED_QTY: 21
PRODUCT: P_24 | DELIVERED_QTY: 17
PRODUCT: P_28 | DELIVERED_QTY: 19
