SUPPLIER: PR_20 | DAY: 364
PRODUCT: P_1 | DELIVERED_QTY: 11
PRODUCT: P_2 | DELIVERED_QTY: 10
PRODUCT: P_3 | DELIVERED_QTY: 13
PRODUCT: P_5 | DELIVERED_QTY: 19
PRODUCT: P_8 | DELIVERED_QTY: 12
PRODUCT: P_10 | DELIVERED_QTY: 12
PRODUCT: P_13 | DELIVERED_QTY: 10
PRODUCT: P_14 | DELIVERED_QTY: 22
PRODUCT: P_15 | DELIVERED_QTY: 15
PRODUCT: P_16 | DELIVERED_QTY: 11
PRODUCT: P_18 | DELIVERED_QTY: 13
PRODUCT: P_21 | DELIVERED_QTY: 11
PRODUCT: P_23 | DELIVERED_QTY: 10
PRODUCT: P_24 | DELIVERED_QTY: 24
PRODUCT: P_28 | DELIVERED_QTY: 10
PRODUCT: P_29 | DELIVERED_QTY: 10
PRODUCT: P_30 | DELIVERED_QTY: 21
