SUPPLIER: PR_14 | DAY: 330
PRODUCT: P_2 | DELIVERED_QTY: 22
PRODUCT: P_4 | DELIVERED_QTY: 17
PRODUCT: P_5 | DELIVERED_QTY: 10
PRODUCT: P_7 | DELIVERED_QTY: 11
PRODUCT: P_8 | DELIVERED_QTY: 22
PRODUCT: P_10 | DELIVERED_QTY: 11
PRODUCT: P_13 | DELIVERED_QTY: 16
PRODUCT: P_14 | DELIVERED_QTY: 10
PRODUCT: P_15 | DELIVERED_QTY: 10
PRODUCT: P_16 | DELIVERED_QTY: 10
PRODUCT: P_19 | DELIVERED_QTY: 21
PRODUCT: P_21 | DELIVERED_QTY: 13
PRODUCT: P_23 | DELIVERED_QTY: 10
PRODUCT: P_24 | DELIVERED_QTY: 13
PRODUCT: P_25 | DELIVERED_QTY: 16
PRODUCT: P_27 | DELIVERED_QTY: 16
