SUPPLIER: PR_11 | DAY: 109
PRODUCT: P_1 | DELIVERED_QTY: 14
PRODUCT: P_2 | DELIVERED_QTY: 15
PRODUCT: P_4 | DELIVERED_QTY: 17
PRODUCT: P_5 | DELIVERED_QTY: 19
PRODUCT: P_6 | DELIVERED_QTY: 23
PRODUCT: P_11 | DELIVERED_QTY: 13
PRODUCT: P_13 | DELIVERED_QTY: 21
PRODUCT: P_14 | DELIVERED_QTY: 11
PRODUCT: P_15 | DELIVERED_QTY: 17
PRODUCT: P_19 | DELIVERED_QTY: 11
PRODUCT: P_20 | DELIVERED_QTY: 15
PRODUCT: P_21 | DELIVERED_QTY: 19
PRODUCT: P_23 | DELIVERED_QTY: 14
PRODUCT: P_26 | DELIVERED_QTY: 20
PRODUCT: P_27 | DELIVERED_QTY: 13
PRODUCT: P_29 | DELIVERED_QTY: 12
PRODUCT: P_30 | DELIVERED_QTY: 16
