SUPPLIER: PR_58 | DAY: 122
PRODUCT: P_1 | DELIVERED_QTY: 13
PRODUCT: P_2 | DELIVERED_QTY: 13
PRODUCT: P_3 | DELIVERED_QTY: 10
PRODUCT: P_4 | DELIVERED_QTY: 17
PRODUCT: P_6 | DELIVERED_QTY: 21
PRODUCT: P_8 | DELIVERED_QTY: 11
PRODUCT: P_10 | DELIVERED_QTY: 19
PRODUCT: P_13 | DELIVERED_QTY: 14
PRODUCT: P_14 | DELIVERED_QTY: 11
PRODUCT: P_15 | DELIVERED_QTY: 11
PRODUCT: P_16 | DELIVERED_QTY: 16
PRODUCT: P_20 | DELIVERED_QTY: 16
PRODUCT: P_23 | DELIVERED_QTY: 15
PRODUCT: P_25 | DELIVERED_QTY: 10
PRODUCT: P_27 | DELIVERED_QTY: 10
