SUPPLIER: PR_34 | DAY: 122
PRODUCT: P_1 | DELIVERED_QTY: 14
PRODUCT: P_2 | DELIVERED_QTY: 10
PRODUCT: P_5 | DELIVERED_QTY: 11
PRODUCT: P_6 | DELIVERED_QTY: 12
PRODUCT: P_7 | DELIVERED_QTY: 10
PRODUCT: P_8 | DELIVERED_QTY: 12
PRODUCT: P_9 | DELIVERED_QTY: 10
PRODUCT: P_10 | DELIVERED_QTY: 14
PRODUCT: P_14 | DELIVERED_QTY: 10
PRODUCT: P_15 | DELIVERED_QTY: 14
PRODUCT: P_17 | DELIVERED_QTY: 22
PRODUCT: P_19 | DELIVERED_QTY: 16
PRODUCT: P_20 | DELIVERED_QTY: 11
PRODUCT: P_21 | DELIVERED_QTY: 10
PRODUCT: P_22 | DELIVERED_QTY: 15
PRODUCT: P_24 | DELIVERED_QTY: 18
PRODUCT: P_28 | DELIVERED_QTY: 20
